MoPHCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country	SubsidyPercentage
10574	51721/1	0.45% SODIUM CHLORIDE INJECTION USP	0.45%	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11135	9723/1	0.45% SODIUM CHLORIDE INJECTION USP	0.45%	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10570	51921/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	100ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10571	52121/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10572	52021/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10573	51821/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	3000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10575	52221/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11136	8323/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	100ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11137	8523/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11138	8623/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11139	8423/1	0.9% SODIUM CHLORIDE INJECTION USP	0.9%	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10614	63721/1	10% DEXTROSE INJECTION USP		1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10615	63521/1	10% DEXTROSE INJECTION USP		250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
10616	63621/1	10% DEXTROSE INJECTION USP		500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11140	9323/1	10% DEXTROSE INJECTION USP		1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11141	9123/1	10% DEXTROSE INJECTION USP		250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11142	63621/1	10% DEXTROSE INJECTION USP		500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
9526	31316/1	10% W/V CALCIUM GLUCONATE INJECTION BP		100x10ml Plastic Ampoules		Pharmamed	Pharmaceutical Solutions Industry	Saudi Arabia	0
4290	208377/97	123 COLD AND FLU		20	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
10304	10120/1	123 COMPLETE		16Day tablets + 8Night tablets	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	0
10611	64021/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION		1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
11143	9623/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION		1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	0
7212	168141/10	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP		1000ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
9378	93016/1	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP		250ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
7211	168142/10	20 MEQ POTASSIUM OF 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP		1000ml PVC Bags 2 entries	Injection	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	0
1337	974078/02	3V		20	Tablet	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	0
