MophCode	RegistrationNumber	DrugName	Dosage	Presentation	Form	Agent	Manufacturer	Country
7186	221989/09	1% W/V LIDOCAINE HCL INJECTION USP		20Vials x 50ml		Pharmamed	Pharmaceutical Solutions Industry Ltd	Saudi Arabia
4999	25956	123 Cold		16	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4958	15208	222		12	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
4959	15208	222		1000	Tablet	Droguerie de l'Union	Algorithm S.A.L.	Lebanon
641	208368/97	3TC	150mg	60	Tablet	Abela Frères S.A.L.	Glaxo Operations UK Ltd	UK
2082	78976	5-FLUOROURACIL EBEWE	500mg	1	Vial	Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
2083	78975	5-FLUOROURACIL EBEWE	250mg	1	Vial	Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
6788	97982/12	5-FLUOROURACIL EBEWE	500mg/10ml	5 Ampoules		Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
6789	97983/12	5-FLUOROURACIL EBEWE	250mg/5ml	5 Ampoules		Codipha	Ebewe Pharma GesmbH.NFG.KG	Austria
5165	24918/07	ABAMUNE	300mg	60	Tablet, film coated	Droguerie de l'Union	Cipla Ltd	India
7634	186795/14	ABELCET (Amphotericin B lipid complexe)	5mg/ml	1vialx20ml		Mectapharm S.A.L.	Sigma- Tau Pharmasource, Inc	USA
3520	194573/04	ABILIFY	10mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb Manufacturing Co Subsidiary of Bristol-Myers Squibb Company 	USA
3521	194575/04	ABILIFY	20mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb Manufacturing Co Subsidiary of Bristol-Myers Squibb Company 	USA
3522	194571/04	ABILIFY	30mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb Manufacturing Co Subsidiary of Bristol-Myers Squibb Company 	USA
3523	194574/04	ABILIFY	15mg	30	Tablet	Pacific pharma	Bristol-Myers Squibb Manufacturing Co Subsidiary of Bristol-Myers Squibb Company 	USA
10700	77316/1	ABIPREX 20	20mg	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon
10701	77316/1	ABIPREX 30	30mg	30	Tablet	Benta Trading Co s.a.l.	Benta SAL	Lebanon
7403	186073/13	ABRAXANE	5mg/ml (100mg/20ml)	1 Vial	Injectable powder for suspension for infusion	Droguerie de l'Union	Celgen Europe Limited	UK
6341	222439/08	ABROLEN	30mg/5ml	125ml	Syrup	Macromed S.A.R.L.	Specifar SA	Greece
9060	43317/1	ABSTRAL	400mcg	10	Tablet, sublingual	Droguerie Mercury S.A.L.	Aesica Queenborough Ltd	UK
1339	236877/99	ACCOLATE	20mg	56	Tablet	Omnipharma	AstraZeneca UK Ltd	UK
8305	63315/1	ACCUZIDE 20MG		30	Tablet, film coated	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH 	Germany
86	17274	ACENTERINE		100	Dragée	Biopharm	A. Christiaens SA	Belgium
2084	B0980/92	ACETYL SALICYLATE DE LYSINE 1800MG INJ.	1800mg	100	Vial	Pharmacie Minapharm Halabi	Panpharma	France
6106	218309/09	ACNOGEN GENEPHARM	20mg	30	Capsule, soft	Mectapharm S.A.L.	Alcala-Farma SL	Spain
6107	218308/09	ACNOGEN GENEPHARM	10mg	30	Capsule, soft	Mectapharm S.A.L.	Alcala-Farma SL	Spain
3624	194560	ACOTRAL	10mg	20	Tablet	Droguerie Phenicia	Laboratorios Phoenix SA.I.C.Y.F.	Argentine
5892	218179/09	ACOTRAL	10mg	30	Tablet	Droguerie Phenicia	Laboratorios Phoenix SA.I.C.Y.F.	Argentine
5035	38907/96	ACTI 5		125ml	Syrup	Pharmaline S.A.L.	Pharmaline Licensed by Pierre Fabre, France	Lebanon
4353	25659	ACTI-CEF	500mg	12	Capsule	Medapharm	Mediphar Laboratories	Lebanon
691	26030	ACTIFED		100ml	Syrup	Sadco	The Wellcome Foundation Ltd	UK
690	15780	ACTIFED COLD		24 	Tablet	Sadco	Aspen Bad Oldesloe GmbH	Germany
694	135366/97	ACTIFED COLD		200ml	Syrup	Sadco	Aspen Bad Oldesloe GmbH	Germany
692	25834	ACTIFED DM DRY COUGH AND COLD		100ml	Syrup	Sadco	Aspen Bad Oldesloe GmbH	Germany
693	25565	ACTIFED EXPECTORANT		100ml	Syrup	Sadco	The Wellcome Foundation Ltd	UK
695	135367/97	ACTIFED EXPECTORANT WET COUGH AND COLD		200ml	Syrup	Sadco	Aspen Bad Oldesloe GmbH	Germany
