Code,DrugName
J07BC02,HAVRIX '1440'
J07AX,INFANRIX (DTPa)
J07BK01,VARILRIX + SOLVENT IN SYRINGE
J07BC01,ENGERIX-B 20
J07BC02,HAVRIX JUNIOR 720
J07CA06,INFANRIX IPV + HIB
N03AF01,NEUROTOP  RETARD
N03AB02,EPILAN-D GEROT
N03AG01,CONVULEX
N03AG01,CONVULEX
A11DB,PRONERV
M01AB05,TRATUL
M01AB05,TRATUL
A05AA02,URSOFALK
A07EC02,SALOFALK
N03AB02,EPANUTIN
G03DA04,UTROGESTAN
G03HA01,ANDROCUR ORAL
G03HB01,DIANE '35'
G03AB03,MICROGYNON  '30'
D04AB01,PROCOMIL
S02DA01,OTIPAX
A07FA02,ULTRA LEVURE
N02BE01,EFFERALGAN
N02AJ06,EFFERALGAN CODEINE
R05CA12,PROSPAN
D02AX,BIAFINE
C01CA26,EPHEDRINE AGUETTANT
V07AB01,EAU POUR PREPARATION INJECTABLE PROAMP
V07AB01,EAU POUR PREPARATION INJECTABLE PROAMP
V07AB01,EAU POUR PREPARATION INJECTABLE PROAMP
B05XA01,CHLORURE DE POTASSIUM PROAMP
B05XA03,CHLORURE DE SODIUM PROAMP
B05XA03,CHLORURE DE SODIUM PROAMP
N02CC04,MAXALT
C09AA02,RENITEC
C09AA02,RENITEC
M03AX01,BOTOX
S01BA04,PRED FORTE
J01FF01,DALACIN-C
J01FF01,DALACIN-C
H02AB04,DEPO MEDROL
H02AB04,DEPO MEDROL
H02AB09,SOLU CORTEF ACT-O-VIAL
H02AB04,SOLU MEDROL Act-O-Vial
H02AB04,SOLU MEDROL
H02AB04,SOLU MEDROL
C01EA01,PROSTIN VR
A02BC01,GASTRIMUT
C07AB03,BLOKIUM 50MG
C07AB03,BLOKIUM 100MG
M01AB16,AIRTAL 100MG 20
R06AX22,EBASTEL
B01AB11,VESSEL DUE F TAB.
B01AB11,VESSEL DUE F AMP.
D07AC01,BETNOVATE
G03GA05,GONAL-f INJECTABLE PREPARATION
J05AB01,ZOVIRAX
L01AA01,ENDOXAN
L01AA06,HOLOXAN
L01AA06,HOLOXAN
V03AF01,UROMITEXAN
R03AC02,VENTOLIN EVOHALER 
H01CC02,CETROTIDE
H01CC02,CETROTIDE
N03AG01,CONVULEX RETARD
N03AG01,CONVULEX
M01AB05,TRATUL RETARD
N03AF01,NEUROTOP RETARD
G03BA03,TESTOVIRON DEPOT
G03AA12,YASMIN
G03HB01,CLIMEN
J05AB01,WARIVIRON
M09AX01,HYALGAN
N01BB58,SEPTANEST ADRENALINEE
N05CD08,MIDAZOLAM NORMON.
M02AA,AIRTAL DIFUCREM 1.5%
N02AX02,TRAMADOL NORMON
C04AX21,PRAXILENE
S01ED51,XALACOM
D06BB03,ZOVIRAX
R03AC02,VENTOLIN
D07AC01,BETNOVATE
D07AC01,BETNOVATE
J01DC02,ZINNAT
J01DC02,ZINNAT
R01AD08,FLIXONASE AQUEOUS
R03BA05,FLIXOTIDE
R03BA05,FLIXOTIDE
R03BA05,FLIXOTIDE
J05AB01,ZOVIRAX IV
J01CR02,AUGMENTIN
J01CR02,AUGMENTIN
J01CR02,AUGMENTIN
J01DD08,CEFIX
J01DD08,CEFIX
J01DD04,AXONE
D07XC04,AZONIT - D
J01DD13,CEFODOX
J01DD13,CEFODOX
M02AA15,FLECTOR E.P TISSUGEL
M01AB05,FLECTOR E.P
D06BA51,IALUGEN PLUS
D06BA51,IALUGEN PLUS
J01MA02,CIPROMAX
J01CR02,KLAVOX
J01CR02,KLAVOX
J01CR02,KLAVOX
A02BC03,PEPTAZOLE
M01AB05,ROFENAC D
M01AB05,ROFENAC
M01AB05,ROFENAC
R06AX13,LORINE
R06AX13,LORINE
J01CR02,KLAVOX
J01FA10,ZIMAX
L04AD01,SANDIMMUN
H01CB02,SANDOSTATIN
D01BA02,LAMISIL
L04AD01,SANDIMMUN NEORAL SOFT GELATIN
L04AD01,SANDIMMUN NEORAL SOFT GELATIN
L04AD01,SANDIMMUN NEORAL SOFT GELATIN
L04AD01,SANDIMMUN NEORAL
N06BA04,RITALIN
R03AC13,FORADIL
L02BG04,FEMARA
J01CA04,AMOXYCILLIN
A10BA02,GLYFORMIN
J01CA04,AMOXICILLIN
L01CD01,ANZATAX CONCENTRATE
L01CD01,ANZATAX CONCENTRATE
A07CA,BABYLYTE
P01AB01,METRONIDAZOLE
V03AB14,PROSULF 1%
G03DA04,PROGEST
G03DA04,PROGEST 200
S01EC01,APO-ACETAZOLAMIDE
M04AA01,APO-ALLOPURINOL
M04AA01,APO-ALLOPURINOL
C07AB03,APO-ATENOL
N03AF01,APO-CARBAMAZEPINE
C03CA01,APO-FUROSEMIDE
C01DA08,APO-ISDN
J01XE01,APO-NITROFURANTOINE
C07AA05,APO-PROPRANOLOL
C07AA05,APO-PROPRANOLOL
G03CC06,GYNOFLOR
A07EC02,ASACOL
A07EC02,ASACOL
A03AX,COLPERMIN
A03AX,COLPERMIN
A10AB04,HUMALOG
A10AD01,HUMULIN 70/30
A10AB01,HUMULIN R U-100
A10AE01,HUMULIN N U-100
R03DC03,SINGULAIR  (PEDIATRIC)
R03DC03,SINGULAIR
J01DD08,SUPRAX 100
A11CC03,ONE-ALPHA
