(E2),(E1),(D),(C),(B),(A2),(A1),Rate,Currency,LBP_Equivalent
103548.7,113145.9,125851.32,130089.59,134384.25,134384.25,134384.25,89500.0,US Dollar,1.0
127735.29,139574.17,155247.29,160475.52,165773.31,165773.31,165773.31,110405.14,British Pound,1.2336
110151.98,120361.19,133876.83,138385.38,142953.91,142953.91,142953.91,95207.4,Euro,1.0638
113860.48,124413.41,138384.08,143044.42,147766.75,147766.75,147766.75,98412.76,Swiss Franc,1.0996
74100.37,80968.21,90060.32,93093.27,96166.57,96166.57,96166.57,64047.0,Canadian Dollar,0.7156
674.26,736.76,819.49,847.09,875.05,875.05,875.05,582.79,Japanese Yen,0.0065
14768.41,16137.19,17949.28,18553.75,19166.27,19166.27,19166.27,12764.75,Danish Krone,0.1426
9370.55,10239.04,11388.81,11772.35,12160.99,12160.99,12160.99,8099.23,Norwegian Krone,0.0905
9507.47,10388.65,11555.21,11944.36,12338.68,12338.68,12338.68,8217.57,Swedish Krona,0.0918
145950.1,159477.18,177385.25,183359.02,189412.27,189412.27,189412.27,126148.7,Jordanian Dinar,1.4095
2096.24,2290.52,2547.73,2633.53,2720.47,2720.47,2720.47,1811.84,Egyptian Pound,0.0202
64480.88,70457.16,78368.96,81008.18,83682.51,83682.51,83682.51,55732.61,Australian Dollar,0.6227
28191.51,30804.38,34263.47,35417.36,36586.6,36586.6,36586.6,24366.7,UAE Dirham,0.2723
