MoPHCode,DFSequence
28,C22C24C23C21
30,C22C24C23C21
31,C221C24
32,C22C24C23C21
33,C22C24C23C21
34,C222C24
49,S22S72
52,S1S2S7
53,L9
54,S1S2S7
55,S1S2S7
57,C22C24C23C21
59,S21S71
92,S1S2S7
96,L4
103,S1S2S7
117,S1S2S7
133,S1S2S7
138,S1S2S7
141,S1S2S7
164,G2
168,L1
169,S1S2S7
196,S1S2S7
197,S1S2S7
253,L1
259,L3
272,C22C24C23C21
274,LW
275,LW
276,LW
285,C22C24C23C21
291,C22C24C23C21
292,C22C24C23C21
319,S1S2S7
321,S1S2S7
322,S1S2S7
363,C22C24C23C21
369,L1
411,S1S2S7
412,S1S2S7
416,C22C24C23C21
417,C22C24C23C21
437,C221C24
439,C22C24C23C21
441,C22C24C23C21
442,C22C24C23C21
449,C22C24C23C21
465,S21S71
480,S1S2S7
481,S1S2S7
482,S1S2S7
484,S1S2S7
490,S1S2S7
491,C22C24C23C21
508,L7
509,C22C24C23C21
511,S3S5L8
513,C22C24C23C21
515,C22C24C23C21
516,C22C24C23C21
518,C22C24C23C21
519,G14G24
521,C221C24
522,C221C24
528,S22S72
529,L9
530,S22S72
531,S22S72
542,C22C24C23C21
544,S1S2S7
545,S1S2S7
550,S1S2S7
554,C22C24C23C21
557,C22C24C23C21
570,C22C24C23C21
571,D1
572,C22C24C23C21
573,S1S2S7
579,L1
585,D1
603,L9
611,D1
612,D5
618,S1S2S7
622,S3S5L8
624,G2
637,S23S53G18G11G12L71L8
638,S23S53G18G11G12L71L8
639,S23S53G18G11G12L71L8
688,C221C24
730,S1S2S7
731,S3S5L8
733,S3S5L8
753,S3S5L8
754,S3S5L8
755,C22C24C23C21
759,D1
760,S1S2S7
761,S3S5L8
765,O4
767,S3S5L8
771,D1
772,O2
786,S1S2S7
790,S3S5L8
792,S1S2S7
793,S1S2S7
794,S21S71
796,S1S2S7
797,S21S71
798,S22S72
803,S1S2S7
804,L9
806,S3S5L8
808,S1S2S7
845,C22C24C23C21
