Code	Numerator1	Numerator1Unit	Denominator1	Denominator1Unit	Numerator2	Numerator2Unit	Denominator2	Denominator2Unit	Numerator3	Numerator3Unit	Denominator3	Denominator3Unit
28	1440	ELISA units/ml										
30												
31	1033	PFU										
32	20	mcg/ml										
33	720	ELISA units/ml										
34	10	mcg										
49	300	mg										
52	100	mg										
53	50	mg/ml										
54	300	mg										
55	100	mg 			200	mg 			500	 mcg		
57	90	mg										
59	50	mg										
92	250	mg										
96	1	g	100	ml								
103	100	mg										
117	100	mg										
133	10	mg										
138	2	mg 			0.035	 mg						
141	0.15	mg 			0.03	 mg						
164	100	mg/ml										
168	10	mg/g										
169	50	mg										
196	500	mg										
197	30	mg 			500	 mg						
253	20	mg/ml										
259	0.67	g	100	g								
272	30	mg/ml										
274												
275												
276												
285	74.6	mg/ml										
291	9	mg/ml										
292	9	mg/ml										
319	10	mg										
321	10	mg										
322	20	mg										
363	100	IU										
369	10	mg/ml										
411	150	mg										
412	300	mg										
416	40	mg/ml										
417	80	mg	2	ml								
437	250	mg										
439	40	mg										
441	500	mg										
442	1	gl										
449	500	mcg/ml										
465	20	mg										
480	50	mg										
481	100	mg										
482	100	mg										
484	10	mg										
490	250	LSU										
491	600	LSU										
508	1	mg/ml										
509	75	IU										
511	200	mg	5	ml								
513	500	mg										
515	500	mg										
516	1	g										
518	400	mg										
519	100	mcg										
521	0.25	mg										
522	0.25	mg										
528	500	mg										
529	300	mg/ml										
530	100	mg										
531	600	mg										
542	250	mg/ml										
544	3	mg 			30	 mcg						
545	1	mg			2	 mg						
550	400	mg										
554	20	mg	2	ml								
557	4	%										
570	1	mg/ml										
571	15	mg/g										
572	100	mg	2	ml								
573	200	mg										
579	6.8	mg/ml 			50	 mcg/ml						
585	50	mg/g										
603	5	mg/ml										
611	1	mg/g										
612	1	mg/g										
618	250	mg										
622	250	mg	5	ml								
624	50	mcg										
637	250	mcg										
638	125	mcg										
639	50	mcg										
688	250	mg										
730	375	mg										
731	156.25	mg	5	ml								
733	312.5	mg	5	ml								
753	100	mg	5	ml								
754	100	mg	5	ml								
755	1	g										
759	1	mg/g										
760	200	mg										
761	100	mg	5	ml								
765	10	mg										
767	50	mg										
771	10	mg/g 			2	 mg/g						
772	10	mg/g 			0.5	 mg/g						
786	500	mg										
790	228.5	mg	5	ml								
792	625	mg										
793	1000	mg										
794	30	mg										
796	50	mg										
797	50	mg										
798	100	mg										
803	10	mg										
804	1	mg/ml										
806	457	mg	5	ml								
808	250	mg										
845	250	mg	5	ml								
850	0.1	mg/ml										
856	250	mg										
867	25	mg										
868	50	mg										
869	100	mg										
870	100	mg/ml										
885	10	mg										
889	12	mcg										
890	2.5	mg										
893	500	mg										
897	850	mg										
899	500	mg										
955	100	mg	16.7	ml								
956	300	mg	50	ml								
957												
958	500	mg										
966	50	mg	5	ml								
968	100	mg										
969	200	mg										
973	250	mg										
974	100	mg										
975	300	mg										
978	50	mg										
983	200	mg										
988	40	mg										
993	10	mg										
998	100	mg										
1001	10	mg										
1002	40	mg										
1007	0.03	mg										
1008	400	mg										
1009	500	mg										
1025	187	mg										
1026	187	mg										
1028	100	IU/ml										
1037	100	IU/ml										
1038	100	IU/ml										
1039	100	IU/ml										
1057	5	mg										
1058	10	mg										
1062	100	mg	5	ml								
1068	2	mcg/ml										
1069	2	mcg/ml										
1083	1	mcg										
1084	0.25	mcg										
