code,public_price
10574,160885
11135,176974
10570,145946
10571,151692
10572,164333
10573,688359
10575,144797
11136,182720
11137,209151
11138,222941
11139,181570
10614,219493
10615,170079
10616,194211
11140,284997
11141,220643
11142,252820
9526,3952241
4290,409552
10304,537537
10611,172377
11143,224090
7212,278102
9378,229959
7211,229959
1337,229797
1338,198889
10612,179272
11144,224090
10613,180421
11145,226388
10566,148244
10567,148244
10568,159736
10569,179272
11146,191913
11147,191913
11148,208002
11149,224090
8733,653107
10544,534977
10548,148463
9325,29491998
10698,1075074
10699,1075074
10966,197778023
10993,141687170
11432,45056853
11691,45056853
11001,17850751
10796,77478802
11325,40259574
11326,40259574
9058,3419743
9059,5261143
9362,3641813
11187,9366451
5143,286238
10970,615480
10971,464970
11508,1001163
8141,355798
11867,179179
9768,815712
11819,202920
11499,21075062
8593,1390057
5900,11127864
5901,25485937
5902,47925322
8202,79959812
2481,311771
2224,91949371
5781,740457
4405,1039238
8870,833182
9595,425998
1340,2484765
5959,1243054
9705,3101588
2023,752552
8497,752552
6060,365525
6480,614136
6481,497222
7244,810337
11585,15102158
7970,298266862
10707,4065124
4468,371157
9590,2127111
9602,2184704
10163,1687866
1341,192169
3371,107507
3434,124977
3436,131697
3740,81974
1709,122290
4861,2239738
11025,13990891
2097,444812
7809,220390
6549,821088
7639,13297758
7640,25729044
7641,68645618
7642,85485667
10363,385683
10364,385683
10892,321178
10887,288926
10891,464970
9523,575165
6986,200233
7562,400465
5182,403153
7509,430030
11702,430030
7445,541569
9346,2576146
9347,1441943
9348,1732213
5897,131011289
6930,188597956
5489,18280324
7282,1204083
9833,35423371
7864,802274
11890,880217
482,471689
571,536193
11171,4359425
8551,7364372
1350,116914
1351,129009
3487,7154928
3489,4031528
8794,237860
10396,458250
5783,6301277
9772,174062
9790,174062
9791,170630
9792,182720
9793,205933
4304,586792
4314,780120
11061,57138680
9459,490837809
6691,485127
10014,528130
3358,388370
5327,2848946
8306,858779
11203,1115389
9915,473033
10914,393746
2107,873498
4572,195817
11083,215015
11084,147183
11085,199657
6484,299677
6886,317403
10681,639925
10495,16854009
10494,71767770
7987,709549
7877,657139
11089,107507
11090,169324
11091,212327
8411,396434
8707,415247
10527,1148985
2755,532162
5205,896343
8286,3656595
8890,8728144
9830,1127036
10774,4748244
10775,4036903
11473,11210836
11692,10661285
4098,1001163
11730,1001163
11580,599354
11094,169324
11095,115570
4239,895895
4332,383955
10377,14833767
10410,27383989
10146,895895
10697,712620
10251,561342
10442,113539160
10443,340619684
10444,449469674
4725,175339
5175,1204339
10328,14169600
6088,1406555
6089,1908256
10879,231141
10880,233829
10881,392402
10882,392402
9985,13126040
6706,137072
6707,139760
6708,215015
6709,215015
10853,1749683
6180,372244
4416,445388
4583,244451
4593,203496
2127,739113
8409,1036103
2473,951440
6831,880217
11398,345368
10779,358358
10780,662962
7746,744489
5074,473545
7347,870298
5586,671921
5585,362837
7273,462282
7274,462282
11766,462282
11767,462282
11871,807649
11872,923220
11873,923220
8570,397777
5266,388370
3531,560382
11926,560382
6407,959504
6471,388370
1129,159917
1131,259362
1104,456906
1105,278175
1106,345368
5384,507972
8838,892311
1130,288926
1132,170668
6256,362837
9157,753896
10335,2175745
10429,1662781
10845,2743998
899,6199145
3944,16577136
11800,564414
11801,940690
7598,1173175
2137,2734719
10421,7433691
4615,254690
4626,284127
11182,7332097
893,4073187
4604,166381
4507,142063
4518,218854
4637,174060
4643,206056
2139,1944540
2140,2857009
1352,133040
10545,15754068
11165,1181238
11017,3800387
7389,856362
7390,856362
7386,544586
7387,856362
7388,544586
11754,302365
6822,665202
6823,498566
7555,442124
7045,387027
7046,544256
3847,349399
2576,651764
10009,2026514
10223,857372
11374,1689210
10193,342680
10145,4950984
7730,550975
7731,544256
4573,285407
4575,174060
4644,218854
4574,206056
7930,355798
9086,2557140
6267,1295464
11924,1333092
4364,167660
6753,530818
5262,2221372
5263,3942834
10542,447500
7530,326554
6752,294302
8363,243235
9492,505541
11552,59283147
5542,1173175
5983,2331567
974,331929
975,626231
7650,2615118
11589,3084119
11590,3084119
978,327898
11099,2981987
11100,3703630
11101,4114846
11102,4731669
6092,889624
6093,1088378
6094,1405390
5981,481096
5951,923220
3819,1132859
3820,1752371
983,727019
5982,911125
11103,71323688
11104,71323688
11105,57771855
3822,545600
10822,28943287
10820,91523229
10821,79672726
8753,565758
8754,1087169
988,862747
6635,2527768
10823,87345820
7884,38330537
7317,1962010
8998,1317234
8999,3628375
9591,1491665
6001,1099263
3571,958160
3579,775397
1001,280863
1002,356118
5669,794211
5670,1178550
6340,463626
7576,1034759
7496,670577
7497,670577
7498,670577
9244,1635456
10562,1111358
10563,888280
7316,607417
5589,1409691
3570,495878
10342,2164930
10343,3246723
11379,41455526
11378,22154866
10871,651764
10872,651764
11901,651764
11902,651764
9263,330585
6909,36492913
8923,427342
2156,2230779
2157,3346168
6855,544256
6477,387027
8032,857372
8033,857372
11115,857372
6478,544256
6854,579196
9589,667890
8142,14168342
8143,7783260
10504,1685178
10505,2119240
10506,603385
5545,431309
7494,335961
8960,3254787
8961,3776197
10916,3202377
8467,2292595
8466,1970969
8832,5341774
9359,12004668
11275,700078
11274,639925
11277,854940
6893,1135227
6894,1695033
10903,1695033
10904,1135227
10926,1135227
10927,1695033
11562,21688377
11563,29098108
10499,1527949
10500,2342317
10940,1881380
9227,2082956
10348,511940
10214,1054596
10213,1228656
9038,399915
10083,16902713
10326,34948930
10327,21176745
1008,5895437
1009,1703992
5478,6833439
10543,2748158
10806,8454523
10807,12310378
5224,1356641
5225,1612611
5226,1126268
11752,278175
4660,177899
10695,971598
10696,971598
9537,588603
8506,690735
4673,403153
4680,134384
10362,353239
10617,134384
