MoPHCode	RegistrationNumber	DrugName	Presentation	Agent	Manufacturer	Country	Public Price LL	Pharmacist Margin	Stratum	public price Decision 119/1 20230126	Responsible Party Name	Responsible Party Country	Exch_Dates
10574	51721/1	0.45% SODIUM CHLORIDE INJECTION USP	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	160,885	16.67		1.80			2/4/2025
11135	9723/1	0.45% SODIUM CHLORIDE INJECTION USP	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	176,974	16.67		1.98			2/4/2025
10570	51921/1	0.9% SODIUM CHLORIDE INJECTION USP	100ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	145,946	16.67		1.63			2/4/2025
10571	52121/1	0.9% SODIUM CHLORIDE INJECTION USP	500ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	151,692	16.67		1.69			2/4/2025
10572	52021/1	0.9% SODIUM CHLORIDE INJECTION USP	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	164,333	16.67		1.84			2/4/2025
10573	51821/1	0.9% SODIUM CHLORIDE INJECTION USP	3000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	688,359	16.67		7.69			2/4/2025
10575	52221/1	0.9% SODIUM CHLORIDE INJECTION USP	250ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	144,797	16.67		1.62			2/4/2025
11136	8323/1	0.9% SODIUM CHLORIDE INJECTION USP	100ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	182,720	16.67		2.04			2/4/2025
11137	8523/1	0.9% SODIUM CHLORIDE INJECTION USP	500ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	209,151	16.67		2.34			2/4/2025
11138	8623/1	0.9% SODIUM CHLORIDE INJECTION USP	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	222,941	16.67		2.49			2/4/2025
11139	8423/1	0.9% SODIUM CHLORIDE INJECTION USP	250ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	181,570	16.67		2.03			2/4/2025
10614	63721/1	10% DEXTROSE INJECTION USP	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	219,493	16.67		2.45			2/4/2025
10615	63521/1	10% DEXTROSE INJECTION USP	250ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	170,079	16.67		1.90			2/4/2025
10616	63621/1	10% DEXTROSE INJECTION USP	500ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	194,211	16.67		2.17			2/4/2025
11140	9323/1	10% DEXTROSE INJECTION USP	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	284,997	16.67		3.18			2/4/2025
11141	9123/1	10% DEXTROSE INJECTION USP	250ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	220,643	16.67		2.47			2/4/2025
11142	9223/1	10% DEXTROSE INJECTION USP	500ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	252,820	16.67		2.82			2/4/2025
9526	31316/1	10% W/V CALCIUM GLUCONATE INJECTION BP	100x10ml Plastic Ampoules	Pharmamed	Pharmaceutical Solutions Industry	Saudi Arabia	3,952,241	23.08	B	44.16	Pharmaceutical Solutions Industry	Saudi Arabia	2/4/2025
4290	208377/97	123 COLD AND FLU	20	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	409,552	23.08	A1	4.58			2/4/2025
10304	10120/1	123 COMPLETE	16Day tablets + 8Night tablets	Droguerie de l'Union	Algorithm S.A.L.	Lebanon	537,537	23.08	A1	6.01	Algorithm S.A.L.	Lebanon	2/4/2025
10611	64021/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	172,377	16.67		1.93			2/4/2025
11143	9623/1	2.5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224,090	16.67		2.50			2/4/2025
7212	168141/10	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP	1000ml PVC Bags 2 entries	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	278,102	16.67		3.11			2/4/2025
9378	93016/1	20 MEQ POTASSIUM OF 0.9% SODIUM CHLORIDE INJECTION USP	250ml PVC Bags 2 entries	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	229,959	16.67		2.57			2/4/2025
7211	168142/10	20 MEQ POTASSIUM OF 5% DEXTROSE AND 0.45% SODIUM CHLORIDE INJECTION USP	1000ml PVC Bags 2 entries	Alfa Laboratoires S.A.L.	Alfa Laboratoires S.A.L.	Lebanon	229,959	16.67		2.57			2/4/2025
1337	974078/02	3V	20	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	229,797	23.08	A1	2.57			2/4/2025
1338	974079/02	3V	3	Pharmanet Drugstore S.A.R.L.	Julphar	United Arab Emirates	198,889	23.08	A1	2.22			2/4/2025
10612	64121/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	179,272	16.67		2.00			2/4/2025
11144	9523/1	5% DEXTROSE 0.45% SODIUM CHLORIDE INJECTION	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	224,090	16.67		2.50			2/4/2025
10613	63921/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	180,421	16.67		2.02			2/4/2025
11145	9423/1	5% DEXTROSE 0.9% SODIUM CHLORIDE INJECTION	1000ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	226,388	16.67		2.53			2/4/2025
10566	52321/1	5% DEXTROSE INJECTION USP	100ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	148,244	16.67		1.66			2/4/2025
10567	52421/1	5% DEXTROSE INJECTION USP	250ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	148,244	16.67		1.66			2/4/2025
10568	52521/1	5% DEXTROSE INJECTION USP	500ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	159,736	16.67		1.78			2/4/2025
10569	52621/1	5% DEXTROSE INJECTION USP	1000ml	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	179,272	16.67		2.00			2/4/2025
11146	8723/1	5% DEXTROSE INJECTION USP	100ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	191,913	16.67		2.14			2/4/2025
11147	8823/1	5% DEXTROSE INJECTION USP	250ml non pvc	A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	191,913	16.67		2.14			2/4/2025
