Code	Child
9876	Gel
4648	Oral gel
6868	Oral gel
6687	Oral gel
4811	Liquid 
9534	Oromucosal spray
5724	Solution
8169	Tablet, chewable
10439	Tablet, chewable
1415	Tablet
1416	Suspension
3345	Tablet, chewable
5036	Tablet
5037	Suspension
9595	Oral suspension
10207	Oral Suspension
4509	Capsule
1808	Tablet, film coated
1809	Tablet, film coated
8825	Tablet
10395	Vaginal tablet
10394	Vaginal tablet
9690	Powder for oral suspension
8923	Capsule, hard, gastro-resistant
4272	Capsule
9574	Capsule
1668	Capsule
6212	Capsule
11468	Hard Gastro-resistant Capsule
11469	Hard Gastro-resistant Capsule
6233	Capsule, hard
3593	Capsule
11610	Capsule
11472	Capsule, hard, gastro-resistant
9181	Capsule, hard, gastro-resistant
8241	Capsule, gastro-resistant
1811	Tablet, enteric coated
8507	Tablet, enteric coated
4452	Capsule, delayed release
8671	Capsule
11109	Capsule
7012	Capsule
9342	Capsule
1553	Capsule
3117	Capsule
11331	Capsule
3660	Capsule
7781	Capsule, hard, gastro-resistant
1552	Capsule
9692	Capsule, hard, gastro-resistant
11698	Hard Gastro-resistant Capsule
11699	Hard Gastro-resistant Capsule
6025	Capsule, delayed release
1554	Capsule
2504	Injectable powder for solution
6939	Lyophilised powder
9128	
8858	Poudre pour solution pour perfusion
8425	Powder and solvent for solution for injection
11328	Lyophilized powder for infusion
1555	Lyophilised powder for IV Infusion/ Injection
7750	Sterile lyophilized powder for solution for IV  infusion
8773	Sterile lyophilized powder for solution for IV  infusion
6026	Powder for oral suspension
10147	Powder for oral suspension
5910	Tablet, enteric coated
5911	Tablet, enteric coated
8125	Tablet, gastroresistant
6151	Tablet, enteric coated
6152	Tablet, enteric coated
5179	Tablet, enteric coated
7232	Tablet, enteric coated
1859	Tablet, enteric coated
11498	Tablet, enteric coated
5998	Tablet, enteric coated
6571	Tablet, gastroresistant
6149	Tablet, enteric coated
6150	Tablet, enteric coated
6746	Tablet, enteric coated
10082	Tablet, enteric coated
7793	Sterile lyophilized powder for IV injection or infusion
10925	Sterile lyophilized powder for IV injection or infusion
8868	powder for infusion
10037	Powder for solution for injection or infusion
7197	Injectable powder for solution
6668	Capsule
8644	Capsule
6926	Capsule
1728	Capsule
7613	Capsule, delayed release
794	Capsule
6669	Capsule
3757	Tablet, coated
7776	Tablet, gastroresistant
1869	Tablet
11049	Tablet, gastro-resistant
4831	Tablet, enteric coated
7622	Tablet, gastroresistant
3758	Tablet, coated
5081	Tablet, enteric coated
5082	Tablet, enteric coated
7775	Tablet, gastroresistant
6439	Tablet, enteric coated
7734	Tablet, enteric coated
1510	Tablet, gastroresistant
11217	Tablet, gastroresistant
8553	Capsule, hard, gastro-resistant
7774	Tablet, gastroresistant
7605	Capsule, gastro-resistant
6265	Capsule, delayed release
7840	Tablet, enteric coated
1511	Tablet, gastroresistant
11218	Tablet, gastroresistant
7571	Capsule, hard, gastro-resistant
7773	Tablet, gastroresistant
7606	Capsule, gastro-resistant
6264	Capsule, delayed release
9230	Tablet, gastroresistant
9264	Tablet, enteric coated
11461	Injectable powder for solution for injection and infusion
8980	IV Injection
7836	Injectable powder for solution for injection or infusion, IV
6181	Granules, gastroresistant, for oral suspension
11070	
9654	Capsule, delayed release
11490	Capsule, delayed release
9653	Capsule, delayed release
11489	Capsule, delayed release
7663	Tablet, enteric coated
5243	14caps/ 14caps/ 14tab
9700	Capsule
3161	Sachet /OS
3512	Liquid
8893	Powder for oral suspension
9974	Oral suspension
10637	Tablet, chewable
11299	Oral suspension
6814	Tablet, coated
10581	Capsule
5233	Capsule
1862	Tablet, film coated
8608	Injection
3682	Dragée
10221	Tablet, film coated
1025	Capsule
4501	Liquid 
1849	Tablet, enteric coated
10446	Capsule
7544	Tablet, coated
6740	Injectable solution
9110	Injectable solution
10511	Comprimé orodispersible
1523	Drops
7322	Emulsion
3970	Tablet, coated
1525	Capsule, liquid gel
3058	Capsule
4214	Injectable solution
2177	Ampoule Injectable
4864	Injectable solution
