MoPHCode	FormRaw	RouteRaw
9876	Gel	Oral
4648	Oral gel	Oral
6868	Oral gel	Oral
6687	Oral gel	Oral
4811	Liquid 	Oral gingival
5724	Solution	Oral gingival
8169	Tablet, chewable	Oral
10439	Tablet, chewable	Oral
3345	Tablet, chewable	Oral
9595	Oral suspension	Oral
10207	Oral Suspension	Oral
4509	Capsule	Oral
1808	Tablet, film coated	Oral
11827	FCT	Oral
1809	Tablet, film coated	Oral
11828	FCT	Oral
8825	Tablet	Oral
10395	Vaginal tablet	Vaginal
10394	Vaginal tablet	Vaginal
9690	Powder for oral suspension	Oral
8923	Capsule, hard, gastro-resistant	Oral
4272	Capsule	Oral
9574	Capsule	Oral
6212	Capsule	Oral
11468	Hard Gastro-resistant Capsule	Oral
11469	Hard Gastro-resistant Capsule	Oral
6233	Capsule, hard	Oral
3593	Capsule	Oral
11610	Capsule	Oral
11472	Capsule, hard, gastro-resistant	Oral
9181	Capsule, hard, gastro-resistant	Oral
8507	Tablet, enteric coated	Oral
4452	Capsule, delayed release	Oral
8671	Capsule	Oral
11109	Capsule	Oral
7012	Capsule	Oral
9342	Capsule	Oral
1553	Capsule	Oral
3117	Capsule	Oral
11331	Capsule	Oral
11698	Hard Gastro-resistant Capsule	Oral
11699	Hard Gastro-resistant Capsule	Oral
6025	Capsule, delayed release	Oral
1554	Capsule	Oral
2504	Injectable powder for solution	Infusion 
6939	Lyophilised powder	Infusion
9128		Infusion
8858	Poudre pour solution pour perfusion	Infusion
8425	Powder and solvent for solution for injection	IV
11328	Lyophilized powder for infusion	Infusion
1555	Lyophilised powder for IV Infusion/ Injection	Infusion 
7750	Sterile lyophilized powder for solution for IV  infusion	Infusion 
8773	Sterile lyophilized powder for solution for IV  infusion	Infusion 
6026	Powder for oral suspension	Oral
10147	Powder for oral suspension	Oral
5910	Tablet, enteric coated	Oral
5911	Tablet, enteric coated	Oral
8125	Tablet, gastroresistant	Oral
6151	Tablet, enteric coated	Oral
6152	Tablet, enteric coated	Oral
7232	Tablet, enteric coated	Oral
1859	Tablet, enteric coated	Oral
11498	Tablet, enteric coated	Oral
5998	Tablet, enteric coated	Oral
6571	Tablet, gastroresistant	Oral
6149	Tablet, enteric coated	Oral
6150	Tablet, enteric coated	Oral
10082	Tablet, enteric coated	Oral
7793	Sterile lyophilized powder for IV injection or infusion	Infusion/IV
10925	Sterile lyophilized powder for IV injection or infusion	Infusion/IV
8868	powder for infusion	Infusion
7197	Injectable powder for solution	IV
6668	Capsule	Oral
8644	Capsule	Oral
7613	Capsule, delayed release	Oral
794	Capsule	Oral
6669	Capsule	Oral
3757	Tablet, coated	Oral
7776	Tablet, gastroresistant	Oral
11049	Tablet, gastro-resistant	Oral
4831	Tablet, enteric coated	Oral
7622	Tablet, gastroresistant	Oral
3758	Tablet, coated	Oral
5081	Tablet, enteric coated	Oral
5082	Tablet, enteric coated	Oral
7775	Tablet, gastroresistant	Oral
6439	Tablet, enteric coated	Oral
7734	Tablet, enteric coated	Oral
1510	Tablet, gastroresistant	Oral
11217	Tablet, gastroresistant	Oral
8553	Capsule, hard, gastro-resistant	Oral
7774	Tablet, gastroresistant	Oral
7605	Capsule, gastro-resistant	Oral
6265	Capsule, delayed release	Oral
7840	Tablet, enteric coated	Oral
1511	Tablet, gastroresistant	Oral
11218	Tablet, gastroresistant	Oral
7571	Capsule, hard, gastro-resistant	Oral
7773	Tablet, gastroresistant	Oral
7606	Capsule, gastro-resistant	Oral
6264	Capsule, delayed release	Oral
11885	Tablet, gastroresistant	Oral
9264	Tablet, enteric coated	Oral
11461	Injectable powder for solution for injection and infusion	Infusion/IV
8980	IV Injection	Infusion/IV
7836	Injectable powder for solution for injection or infusion, IV	Infusion/IV
6181	Granules, gastroresistant, for oral suspension	Oral
11070		Oral
11490	Capsule, delayed release	Oral
11489	Capsule, delayed release	Oral
7663	Tablet, enteric coated	Oral
11833	Capsule	Oral
3161	Sachet /OS	Oral
3512	Liquid	Oral
8893	Powder for oral suspension	Oral
9974	Oral suspension	Oral
10637	Tablet, chewable	Oral
10854	Oral suspension	Oral
11299	Oral suspension	Oral
6814	Tablet, coated	Oral
10581	Capsule	Oral
5233	Capsule	Oral
1862	Tablet, film coated	Oral
8608	Injection	IV/IM
3682	Dragée	Oral
10221	Tablet, film coated	Oral
1025	Capsule	Oral
4501	Liquid 	Oral
1849	Tablet, enteric coated	Oral
7544	Tablet, coated	Oral
9110	Injectable solution	IV/IM
1523	Drops	Oral
7322	Emulsion	Oral
3970	Tablet, coated	Oral
1525	Capsule, liquid gel	Oral
3058	Capsule	Oral
4214	Injectable solution	IV/IM/SC
2177	Ampoule Injectable	IV/SC
4864	Injectable solution	IV/IM/SC
4236	Injectable solution	IV/IM/SC
2179	Ampoule	IV/SC
11027	Solution for injection	IV
9501	Tablet, sugar coated	Oral
9502	Tablet, sugar coated	Oral
3748	Tablet, film coated	Oral
3749	Syrup	Oral
7930	Injectable solution IV/IM/SC	IV/IM/SC
9086	Injectable solution IV/IM/SC	IV/IM/SC
3119	Injectable solution	IV/IM/SC
1579	Injection	IV/IM/SC
4415	Capsule	Oral
8410	Dragée	Oral
4378	Tablet, sugar coated	Oral
9478	Tablet	Oral
4640	Tablet	Oral
4336	Drops	Oral
7552	Tablet, coated	Oral
2481	Comprimé	Oral
4525	Capsule	Oral
8547	Tablet	Oral
8548	Tablet	Oral
2793	Injectable solution	IV/IM
8871	Solution for injection	IV/IM
9605	Injectable solution	IV/IM
7713	Injectable solution IV/IM	IV/IM
9087	Injectable solution IV/IM	IV/IM
9733		IV/IM
11798	Tablet	Oral
11096	Comprimés pelliculés	Oral
1847	Capsule, soft gelatin	Oral
5056	Tablet, film coated	Oral
1689	Tablet	Oral
4447	Tablet	Oral
7455	Tablet	Oral
6204	Tablet, film coated	Oral
9875	Oral Suspension	Oral
5999	Oral suspension	Oral
1848	Suspension	Oral
9149	Tablet	Oral
3969	Tablet, coated	Oral
8918	Tablet, film coated	Oral
9591	Tablet	Oral
4446	Tablet, scored	Oral
10435	Tablet, film coated	Oral
10827	Tablet, film coated	Oral
9090	Comprimes pellicules	Oral
9116		IV/IM
9988	Injectable solution	IV/IM
8959		IV
8962	Injectable solution IV	IV
5644	solution for inj IV	IV
7850	Solution for injection	IV/IM
9117		IV/IM
9987	Injectable solution	IV/IM
8958		IV
8100	Injectable solution IV	IV
5312	solution for inj IV	Infusion/IV
7851	Solution for injection	IV/IM
7678	Injectable solution	IV
10337	Film, orodispersible	Oral
9013	Comprimes orodispersible	Oral
11300	Tablet, orodispersible	Oral
11680	Solution	Oral
9491	Oral solution	Oral
9928	Oral solution	Oral
11783	Oral solution	Oral
10902	Oral solution	Oral
11082	Oral solution	Oral
10336	Film, orodispersible	Oral
10984	Suppositories	Rectal
11154	Suppositories	Rectal
9546	Tablet, film coated	Oral
8436	Concentrate for solution for infusion or injection	Infusion/IV
9852	Ampoule	Infusion/IV/IM
8437	Concentrate for solution for infusion or injection	Infusion/IV
11008	Transdermal patch	Transdermal
8286	Injectable solution	IV
11574	IV solution for injection	IV
8551	Capsule, hard	Oral
1453	Liquid 	Oral
1454	Tablet	Oral
1455	Suppository	Rectal
10342	Gélule	Oral
10343	Gélule	Oral
92	Capsule	Oral
9890	Tablet, film coated	Oral
9891	Tablet, film coated	Oral
4502	Liquid 	Oral
9735	Sugar coated tablet	Oral
9738	Sugar coated tablet	Oral
10851	Suppository	Rectal
4503	Liquid 	Oral
4504	Liquid 	Oral
8603	Tablet, film coated	Oral
6459	Powder for oral solution	Oral
7973	Powder for oral solution	Oral
10320	Powder for oral solution	Oral
4495	Granules	Oral
3168		Oral
2555	Sachet	Oral
1589	Solution	Oral
2557	Sachet	Oral
9645	Sachet	Oral
9646	Powder for oral solution	Oral
6712	Rectal Solution	Rectal
4548	Suppository	Rectal
4549	Suppository	Rectal
4551	Suppository	Rectal
11541	Tablet, film coated	Oral
11892	Tablet, film coated	Oral
11540	Tablet, film coated	Oral
11891	Tablet, film coated	Oral
8844	Capsule	Oral
4442	Suspension	Oral
9495	Lozenge	Oral
3754	Tablet, film coated	Oral
3755	Granules for oral  suspension	Oral
11703	Tablet, film coated	Oral
4421	Capsule	Oral
10512	Tablet	Oral
2251	Gélule	Oral
2512	Tablet	Oral
6943	Powder for oral suspension	Oral
9350	Powder for oral suspension	Oral
10094	Capsule	Oral
11518	Gélule	Oral
7651	Tablet, orodispersible	Oral
11470	Rectal ointment	Rectal
7160	Capsule	Oral
10833	Capsule, hard, modified release	Oral
10834	Capsule, hard, modified release	Oral
8965	Tablet, prolonged release	Oral
1008	Tablet	Oral
3115	Tablet, enteric coated	Oral
8775	Tablet, gastroresistant	Oral
5478	Tablet	Oral
6890	Tablet, controlled release	Oral
10339	Tablet, gastroresistant	Oral
8321	Granules, gastro-resistant, prolonged release	Oral
9191	Granules, prolonged release	Oral
1009	Suppository	Rectal
3116	Suppository	Rectal
10682	Suppository	Rectal
