Code	Form LNDI
28	Injectable suspension
30	Injectable suspension
31	Injectable lyophilised powder for solution+diluent
32	Injectable suspension
33	Injectable suspension
34	Injectable dry powder+suspension
49	Tablet, prolonged release
52	Tablet
53	Syrup
54	Capsule
55	Capsule
57	Injectable solution
59	Capsule
92	Capsule
96	Enema
103	Capsule
117	Capsule
133	Tablet
138	Tablet
141	Tablet, sugar coated
164	Spray
168	Drops
169	Capsule
196	Tablet, effervescent scored
197	Tablet, effervescent scored
253	Drops concentrated
259	Emulsion
272	Injectable solution
274	Water for injection, irrigation
275	Water for injection, irrigation
276	Water for injection, irrigation
285	Injectable concentrated solution
291	Injectable solution
292	Injectable solution
319	Tablet
321	Tablet
322	Tablet
363	Injectable powder for solution
369	Drops suspension
411	Capsule
412	Capsule
416	Injectable suspension
417	Injectable suspension
437	Injectable lyophilised powder for solution+diluent
439	Injectable powder for solution+diluent
441	Injectable powder for solution
442	Injectable powder for solution
449	Injectable concentrated solution
465	Capsule, hard, gastro-resistant
480	Tablet
481	Tablet
482	Tablet, film coated
484	Tablet, film coated
490	Capsule, soft gelatin
491	Injectable solution
508	Solution
509	Injectable powder for solution+diluent
511	Suspension
513	Injectable powder for solution
515	Injectable powder for solution
516	Injectable powder for solution
518	Injectable solution
519	Inhalation aerosol metered dose
521	Injectable lyophilised powder for solution+diluent
522	Injectable lyophilised powder for solution+diluent
528	Tablet, prolonged release
529	Solution
530	Tablet, film coated
531	Tablet, prolonged release
542	Injectable solution
544	Tablet, film coated
545	Tablet, film coated
550	Tablet
554	Injectable solution
557	Injectable solution
570	Injectable solution
571	Cream
572	Injectable solution
573	Tablet, film coated
579	Drops solution
585	Cream
603	Solution
611	Cream
612	Ointment
618	Tablet, film coated
622	Granules for suspension
624	Spray, suspension
637	Inhalation suspension
638	Inhalation suspension
639	Inhalation suspension
688	Injectable freeze dried substance
730	Tablet, film coated
731	Powder for suspension
733	Powder for suspension
753	Powder for suspension
754	Powder for suspension
755	Injectable powder for solution
759	Cream
760	Tablet
761	Powder for suspension
765	Patch
767	Granules
771	Cream
772	Gauze
786	Tablet, film coated
790	Powder for suspension
792	Tablet, film coated
793	Tablet, film coated
794	Capsule
796	Tablet, dispersible
797	Tablet, enteric coated
798	Tablet, sustained release
803	Tablet
804	Syrup
806	Powder for suspension
808	Capsule
845	Injectable concentrated solution
850	Injectable solution
856	Tablet, scored
867	Capsule, soft gelatin
868	Capsule, soft gelatin
869	Capsule, soft gelatin
870	Solution
885	Tablet
889	Capsule, inhalation
890	Tablet, film coated
893	Capsule
897	Tablet
899	Capsule
955	Injectable concentrated solution
956	Injectable concentrated solution
957	Solution
958	Injectable solution
966	Injectable solution
968	Capsule, soft gelatin
969	Capsule, soft gelatin
973	Tablet
974	Tablet
975	Tablet
978	Tablet
983	Tablet
988	Tablet, scored
993	Tablet
998	Tablet
1001	Tablet, scored
1002	Tablet, scored
1007	Tablet
1008	Tablet, enteric coated
1009	Suppository
1025	Capsule, delayed release
1026	Capsule, delayed release
1028	Injectable suspension
1037	Injectable suspension
1038	Injectable solution
1039	Injectable suspension
1057	Tablet, chewable
1058	Tablet, film coated
1062	Powder for suspension
1068	Injectable solution
1069	Injectable solution
1083	Capsule
1084	Capsule
1086	Drops solution
1087	Cream
1088	Ointment
1089	Cream
1095	Injectable freeze dried substance+diluent
1096	Injectable freeze dried substance+diluent
1097	Injectable solution
1099	Injectable freeze dried substance+diluent
1104	Tablet
1105	Powder for suspension
1106	Powder for suspension
1121	Injectable concentrated solution
1122	Capsule
1123	Capsule
1124	Powder for suspension
1129	Powder for suspension
1130	Powder for suspension
1131	Tablet
1132	Tablet
1134	Tablet, film coated
1137	Tablet
1139	Tablet, film coated
1141	Tablet
1151	Adhesive plaster
1157	Caplet
1161	Powder
1162	Powder
1163	Cream
1164	Cream
1167	Tablet, film coated
1169	Gel
1177	Tablet, scored
1179	Inhalation solution
1191	Injectable solution
1192	Injectable emulsion
1193	Injectable emulsion
1194	Solution
1204	Capsule
1205	Capsule, enteric coated
1210	Tablet, coated
1211	Syrup
1239	Syrup
1240	Tablet
1241	Tablet, film coated
1248	Tablet, film coated
1253	Injectable solution
1255	Injectable solution
1256	Tablet
1260	Suppository
1263	Injectable solution
1271	Capsule
1274	Tablet, sugar coated
1277	Tablet, sustained release
1278	Tablet
1290	Injectable freeze dried material
1292	Drops solution
1301	Tablet, scored
1302	Tablet, scored
1309	Tablet, scored
1310	Tablet, scored
1311	Tablet, scored
1312	Tablet, scored
1337	Tablet
1338	Injectable solution
1340	Tablet
1341	Suspension, alcohol free
1342	Caplet
1343	Caplet
1350	Tablet
1351	Suspension
1352	Syrup, sugar free
1356	Tablet, film coated
1362	Powder for suspension + solvent
1363	Capsule
1369	Capsule
1372	Ointment
1373	Cream
1381	Tablet
1382	Tablet
1383	Syrup, sugar free
1384	Inhalation aerosol metered dose
1385	Tablet, effervescent
1386	Tablet
1394	Injectable dry powder
1395	Tablet, film coated
1402	Injectable solution
1403	Creamagel
1415	Tablet, chewable
1416	Suspension
1433	Injectable solution
1434	Injectable solution
1440	Cream
1453	Liquid 
1454	Tablet
1455	Suppository
1459	Ovule
1460	Ovule
1475	Tablet, film coated
1478	Tablet, film coated
