Code	Form	Scored	Parent	Route	IsParenteral
28	Injectable, suspension		Parentaral	IM-Intramuscular	Parentaral
30	Injectable, suspension		Parentaral	IM-Intramuscular	Parentaral
31	Injectable, lyophilised / freeze-dried /  dry powder, for solution CHOOSE with diluent		Parentaral	SC-Subcutanous	Parentaral
32	Injectable, suspension		Parentaral	IM-Intramuscular	Parentaral
33	Injectable, suspension		Parentaral	IM-Intramuscular	Parentaral
34	Injectable, lyophilised / freeze-dried / dry powder CHOOSE with suspension		Parentaral	IM-Intramuscular	Parentaral
49	Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release		O-Oral	O-Oral	
52	Tablet		O-Oral	O-Oral	
53	Syrup		O-Oral	O-Oral	
54	Capsule		O-Oral	O-Oral	
55	Capsule		O-Oral	O-Oral	
57	Injectable, solution		Parentaral	IM-Intramuscular	Parentaral
59	Capsule, delayed release / enteric coated / gastro-resistant		O-Oral	O-Oral	
92	Capsule		O-Oral	O-Oral	
96	Enema		R-Rectal	R-Rectal	
103	Capsule		O-Oral	O-Oral	
117	Capsule		O-Oral-V-Vaginal	O-Oral-V-Vaginal	
133	Tablet		O-Oral	O-Oral	
138	Tablet		O-Oral	O-Oral	
141	Tablet, sugar coated		O-Oral	O-Oral	
164	Spray		T-Topical	T-Topical	
168	Drops, solution		Ot-Otic	Ot-Otic	
169	Capsule		O-Oral	O-Oral	
196	Tablet, effervescent CHOOSE scored	YES	O-Oral	O-Oral	
197	Tablet, effervescent CHOOSE scored	YES	O-Oral	O-Oral	
253	Drops, concentrated 		O-Oral	O-Oral	
259	Emulsion		T-Topical	T-Topical	
272	Injectable, solution		Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
274	Water for injection, irrigation		Irrigation	Irrigation	
275	Water for injection, irrigation		Irrigation	Irrigation	
276	Water for injection, irrigation		Irrigation	Irrigation	
285	Injectable, concentrate, for solution		Parentaral	Inf-Infusion	Parentaral
291	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
292	Injectable, solution		Parentaral	Inf-Infusion	Parentaral
