MoPHCode	GTIN
49	9008732000191
52	9008732000160
53	9008732000115
54	9008732000092
55	9008732000177
57	9008732000214
92	4032717998093
96	4032717999380
103	5415062008102
138	6285074002417
141	6285074002462
168	13583313279065
169	13583313110016
170	13583313228575
196	3585554170746
197	3585554166015
253	4104480700521
259	3400931922827
272	3400956390205
274	3400936830929
275	3400937064330
276	3400937064798
285	3400956654543
291	3400936693821
292	3400936694132
321	366582506263
322	366582506270
363	5016007202700
369	5016007202298
411	5415062008034
412	5415062305645
416	5415062309445
417	5415062008270
437	5415062322215
439	5415062342503
441	5415062342732
442	5415062342756
449	5415062318751
465	8435232336801
480	8430308630005
481	8430308180005
482	8430308032205
484	8430308004806
490	8020030091122
508	6291107431901
511	6291107432199
513	85412574592
516	85412574813
518	85412586441
519	6291107433608
521	4054839458804
522	4054839458811
528	9008732000139
529	9008732000108
530	9008732000245
531	9008732000207
542	6285074002707
544	6285074002448
550	4014852101811
554	8033661802630
557	33760140705835
570	NULL
571	8430308690009
572	8435232356014
573	4054839641381
579	5415062305577
585	6291107431116
603	NULL
611	6291107433011
612	NULL
618	6291107438320
624	6291107433240
637	6291107432168
638	6291107431987
688	6291107439112
730	6291107431475
731	NULL
733	NULL
753	6251106401633
754	6251106401640
755	6251106401701
759	6251106700309
760	6251106400612
761	6251106400636
765	7612291012452
767	7612291542164
771	7612291028163
772	7612291037127
786	6281086011225
790	6281086010778
792	6281086010754
793	6281086011508
794	6281086011232
796	6281086010457
797	6281086010129
798	6281086010228
803	6281086010648
804	6281086010624
806	6281086011751
808	6281086011638
845	7612797154595
850	7612791387470
856	7612797257159
867	7612797472385
868	7612797472446
869	7612797472415
870	7612791387449
885	7612797182789
889	7612797284575
890	7612797394373
893	5298001540051
897	5290665002968
899	5290665010581
958	26285111000141
966	15012727913596
968	7796285250843
969	7796285250850
974	771313231640
975	771313231688
978	771313060387
983	771313001458
988	771313003810
1001	771313007399
1002	771313007450
1007	7640135180265
1008	7640129620005
1009	7640129620036
1025	7640129621705
1028	300020427550
1037	300020099559
1038	300020097555
1039	300020098552
1057	366582506416
1058	366582506409
1062	6251065019856
1068	5702191014570
1087	5702191009958
1088	5702191009972
1089	5702191009965
1095	7795355998333
1096	7795355998340
1097	7795355998357
1104	6251065033005
1105	6251065015391
1106	6251065015377
1121	7640114724459
1122	6251065019863
1123	6251065019900
1124	6251065019849
1129	6251065028919
1130	6251065028926
1131	6251065011782
1132	6251065011775
1137	6251065010570
1139	6251065012994
1161	3582910052647
1162	3582910052654
1163	5013721977204
1167	4046222740115
1169	4046222111724
1177	8025153000426
1179	8025153000402
1191	4030539134774
1193	4030539074261
1194	4031626710390
1204	4036906120302
1210	3582910080565
1211	3582910080558
1239	8025153000457
1240	8025153000440
1241	5702150149855
1248	5702150150028
1253	5702150149916
1255	5702150150011
1256	5702150149893
1260	7640128549994
1263	7640107470141
1271	7640107470998
1277	NULL
1278	NULL
1290	5415062007907
1292	5415062008690
1301	5415062305638
1302	5415062008324
1309	4054839490743
1310	4054839490750
1311	4054839490767
1312	4054839490774
1337	6291100083640
1338	6291100083633
1340	6251159024605
1341	6291100084340
1350	6291100082407
1351	6291100080601
1352	6291100082278
1356	5000456029353
1362	6291100082612
1363	6291100082506
1369	4008500024454
1381	6251159026937
1382	6251159026944
1383	6291100081073
1384	6291100083879
1385	4008500024393
1394	6291100084296
1395	6291100081769
1402	6291100083657
1403	6291100083046
1415	58738193846
1416	58738193730
1433	6291100081875
1434	6291100081882
1440	6291100081189
1453	58738325438
1454	58738325551
1455	58738325612
1459	6291100080083
1460	6291100080090
1475	6291100081691
1478	6291100081707
1491	6291100081936
1494	7613326014373
1497	6285147003730
1498	6285147004041
1499	6291100082711
1503	6285147004034
1510	5000456024792
1511	5000456024815
1523	58738666715
1525	58738666449
1527	6291100080434
1531	10677683001333
1542	6291100082704
1543	6291100084166
1548	6285147005680
1551	4008500024409
1552	6291100082681
1553	6291100080175
1554	6291100081301
1555	6291100083237
1556	6291100083992
1557	6291100084005
1570	7613326016117
1571	7613326016100
1575	5415062326442
1579	6291100087969
1580	5000456022545
1581	5000456022576
1589	6291100081028
1595	7321839712005
1602	7640128013723
1617	6291100080311
1618	6291100080328
1630	6291100085491
1636	7321839711084
1641	5000456022897
1642	5000456022293
1643	5000456022347
1644	5000456022415
1646	5000456055284
1651	7680667190011
1652	7680667190028
1655	NULL
1658	6251148010114
1659	6251148010169
1660	6221032310002
1662	6221032115591
1664	7680432260109
1665	7680426880207
1668	6221032131577
1671	6221032131522
1672	NULL
1682	6251148010664
1685	7680402150690
1686	7680402150508
1689	6251148140415
1709	6291100080557
1711	5000456022798
1712	5000456022811
1713	5000456022828
1720	6251600000097
1721	6251600000103
1722	6251600000110
1725	6251600000677
1726	6251160060050
1727	6251160040052
1728	6251160040298
1731	NULL
1732	NULL
1735	6221075016367
1736	6221075031889
1746	3582910077213
1747	3582910077220
1752	3664798006193
1757	3582910077466
1758	3582910077459
1759	3582910077435
1765	3582910070269
1766	3582910076780
1770	3582910076070
1772	3582910076094
1779	3582910080534
1780	3582910080541
1781	3664798024517
1800	NULL
1801	NULL
1808	6251107021014
1809	6251107022011
1811	6251107032010
1812	6251107130013
1819	6251107013026
1820	6251107092014
1822	6251107016010
1823	6251107014016
1832	6251107124012
1835	6251154160018
1840	NULL
1842	6223000010938
1847	6223000011942
1848	6223000011935
1849	6223000010280
1852	6223000012093
1854	5290931028364
1855	NULL
1857	6251154118026
1858	6251154069014
1859	6251154113014
1860	6251154047012
1861	6251154048019
1862	6251154027014
1864	6251154040013
1865	6251154053013
1869	5413868112030
1870	3573994003533
1872	3573994003540
1877	3582910090342
1878	4048846004604
1879	4048846002983
2010	5712249104078
2012	5712249104009
2014	5712249103941
2015	5712249103958
2016	5712249104245
2017	5712249103781
2018	5712249104146
2019	5712249104160
2023	5712249104153
2025	5712249104177
2028	5712249103798
2029	5712249104191
2036	5712249104054
2038	5712249104061
2041	5712249104030
2043	5712249104016
2045	5712249104023
2097	NULL
2107	NULL
2124	3582910013211
2127	NULL
2137	NULL
2139	NULL
2140	NULL
2156	3582910029311
2157	3582910029205
2177	NULL
2179	NULL
2198	6285074002530
2199	6285074002547
2217	4048846000552
2222	3400932636228
2224	4048846015761
2226	4048846000286
2227	4048846010872
2241	9003533000975
2248	NULL
