Code	Presentation	Form	Dosage	Amount	Route 	Agent	Manufacturer	Country
28	1Vial x 1ml	Injection IM	1,440 ELISA units/ml	1	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
30	0.5ml	Prefilled syringe		0.5	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
31	1dose Vial x 0.5ml 	Powder and solvent for sol for inj	≥1033 PFU	0.5	SC	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
32	1dose x 1ml	prefilled syringe	20mcg/ml	1	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
33		Prefilled syringe	720 ELISA units/0.5ml	0.5	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
34				0.5	IM	Abela Frères S.A.L.	GlaxoSmithKline Biologicals SA	Belgium
49	50	Tablet	300mg	50	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
52	10x10 Sachets	Tablet	100mg	100	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
53	100ml	Syrup	50mg/ml	100	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
54	100	Capsule	300mg	100	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
55	20	Capsule		20	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
57	5Ampoules x 3ml 	Ampoule	90mg	15	IM	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
59	30	Capsule	50mg	30	Oral	Bellapharma S.A.R.L.	GL Pharma GmbH	Austria
92	100	Capsule	250mg	100	Oral	Meksapharma SARL	Dr Falk Pharma GmbH	Germany
96	7	Enema	4g/60ml	420	Rectal	Meksapharma SARL	Dr Falk Pharma GmbH	Germany
103	100	Capsule	100mg	100	Oral	Droguerie Fattal  S.A.L.	Pfizer Manufacturing Deutschland GmbH for Parke Davis	Germany
117	30	Capsule	100mg	30	Oral/Vaginal	Droguerie Columbus	Laboratoires Besins International	France
133	15	Tablet	10mg	15	Oral	Droguerie R. Pharaon & Fils S.A.L.	Bayer Weimar GmbH & Co KG	Germany
138	21	Dragée		21	Oral	Droguerie R. Pharaon & Fils S.A.L.	Bayer Weimar GmbH & Co KG	Germany
141	21	Dragée			Oral	Droguerie R. Pharaon & Fils S.A.L.	Bayer AG	Germany
164	15ml	Spray	10%	15	Topical	Levant Alie Houses S.A.L.	Walter Ritter GmbH & Co.KG	Germany
168	16g	Gouttes		16	Otic	Pharmamedic S.A.R.L.	Biocodex	France
169	20	Gélule	50mg	20	Oral	Pharmamedic S.A.R.L.	Biocodex	France
196	16	Tablet, effervescent scored	500mg	16	Oral	Pacific pharma	UPSA	France
197	16	Tablet, effervescent scored		16	Oral	Pacific pharma	UPSA	France
253	20ml	Gouttes	100mg/5ml	20	Oral	New nouvellepharm drug store	Engelhard Arznemittel GmbH and Co.Kg	Germany
259	100ml/93g	Emulsion	0.67g/100g	100	Topical	Biopharm	Janssen Cilag SA	France
272	10Ampoules x 1ml	Solution injectable	30mg/ml	10	Infusion/IV	Droguerie Solupharm SAL	Aguettant	France
274	50 ampoules x 5ml	Solvant pour preparation parenterale		250	Water for injection, irrigation	Droguerie Solupharm SAL	Aguettant	France
275	50 ampoules x 10ml	Solvant pour preparation parenterale		500	Water for injection, irrigation	Droguerie Solupharm SAL	Aguettant	France
276	20 ampoules x 20ml	Solvant pour preparation parenterale		400	Water for injection, irrigation	Droguerie Solupharm SAL	Aguettant	France
285	50ampoules x 10ml	Solution a diluer pour perfusion	0.0746g/ml	500	Infusion 	Droguerie Solupharm SAL	Aguettant	France
291	50 ampoules x 10ml	Solution injectable	0.9%	500	Infusion 	Droguerie Solupharm SAL	Aguettant	France
292	20 ampoules x 20ml	Solution injectable	0.9%	400	Infusion 	Droguerie Solupharm SAL	Aguettant	France
319	3	Tablet		3	Oral	Droguerie de l'Union	Merck Sharp & Dohme Ltd	UK
321	30	Tablet	10mg 	30	Oral	Droguerie de l'Union	Organon Pharma (UK) Limited	UK
322	30	Tablet	20mg	30	Oral	Droguerie de l'Union	Organon Pharma (UK) Limited	UK
363	1Vial	Powder for solution for injection	100U		IM/SC	Mersaco	Allergan Pharmaceuticals (Ireland)	Ireland
369	5ml	Ophtalmic suspension	1%	5	Ophtalmic	Mersaco	Allergan Pharmaceuticals (Ireland)	Ireland
411	16	Capsule	150mg	16	Oral	Droguerie Fattal  S.A.L.	Fareva Amboise	France
412	16	Capsule	300mg	16	Oral	Droguerie Fattal  S.A.L.	Fareva Amboise	France
