Code	UnitQuantity1	UnityType1	UnitQuantity2	UnityType2	PackageQuantity1	PackageType1	PackageQuantity2	PackageType2	PackageQuantity3	PackageType3	Description
28	1	ml			1	vial					1 vial of 1 ml
30	0.5	ml			1	Pre-filled syringe					1 prefilled syringe of 0.5 ml
31	0.5	ml			1	vial					1 Vial of 0.5 ml
32	1	ml			1	Pre-filled syringe					1 prefilled syringe of 0.8 ml each
33	0.5	ml			1	Pre-filled syringe					1 prefilled syringe of 0.5 ml
34	0.5	ml									0.5 ml
49	50	Pill									50 Pills
52	100	Pill				Packet	10	Sachet			10 packets / sachets, with 10 pills each
53	100	ml									100 ml 
54	100	Pill									100 Pills
55	20	Pill									20 Pills
57	15	ml			5	ampule					5 ampules of 3 ml each
59	30	Pill									30 Pills
92	100	Pill									100 Pills
96	420	ml			7	Non stated					7 Enemas with 60 ml each
103	100	Pill									100 Pills
117	30	Pill									30 Pills
133	15	Pill									15 Pills
138	21	Pill									21 Pills
141		Pill			21						21 Pills
164	15	ml									15 ml 
168	16	g									16 g 
169	20	Pill									20 Pills
196	16	Pill									16 Pills
197	16	Pill									16 Pills
253	20	ml									20 ml 
259	100	ml									100 ml 
272	10	ml			10	ampule					10 ampules of 1 ml each
274	250	ml			50	Ampule					50 ampules of 5 ml each
275	500	ml			50	Ampule					50 ampules of 10 ml each
276	400	ml			20	Ampule					20 ampules of 20 ml each
285	500	ml			50	ampule					50 ampules of 10 ml each
291	500	ml			50	ampule					50 ampules of 10 ml each
292	400	ml			20	ampule					20 ampules of 20 ml each
319	3	Pill									3 Pills
321	30	Pill									30 Pills
322	30	Pill									30 Pills
363					1	vial					1 Vial
369	5	ml									5 ml
411	16	Pill									16 Pills
412	16	Pill									16 Pills
416	1	ml			1	non stated					1 non stated of 1 ml
417	2	ml			1	non stated					1 non stated of 2 ml
437	2	ml			1	non stated					1 non stated of 2 ml
439	1	ml			1	non stated					1 non stated of 1 ml
441	8	ml			1	non stated					1 non stated of 8 ml
442	16	ml			1	non stated					1 non stated of 16 ml
449	5	ml			5	ampule					5 ampules of 1 ml each
465	14	Pill									14 Pills
480	30	Pill									30 Pills
481	30	Pill									30 Pills
482	20	Pill									20 Pills
484	20	Pill									20 Pills
490	50	Pill									50 Pills
491	20	ml			10	Pre-filled syringe					10 Prefilled syringes of 2 ml each
508		ml			30						30 ml 
509	1	ml			1 	non stated 	1	 non stated			1 non stated and 1 non stated of 1 ml
511	125	ml									125 ml
513					1	vial					1 Vial
515					1	vial					1 Vial
516					1	vial					1 Vial
518	60	ml			15	ampule					15 ampules of 4 ml each
519	200	dose									200 doses
521	1	ml			1	vial					1 vial of 1 ml
522	7	ml			7	vial	7	 pre-filled syringe			7 vials and 7 prefilled syringes of 1 ml each
528	50	Pill									50 Pills
529	100	ml									100 ml
530	30	Pill									30 Pills
531	50	Pill									50 Pills
542	1	ml			1	ampule					1 Ampule of 1 ml
544		Pill			21						21 Pills
545	21	Pill									21 Pills
