MoPHCode	Form	Scored
7685	Gargle / Mouthwash	
4648	Gel	
6687	Gel	
6868	Gel	
9876	Gel	
4811	Gargle / Mouthwash	
5724	Solution	
8324	Gel	
9534	Spray	
8169	Tablet, chewable	
10439	Tablet, chewable	
1415	Tablet, chewable	
1416	Suspension	
3345	Tablet, chewable	
5036	Tablet	
5037	Suspension	
9595	Suspension	
10207	Suspension	
4509	Capsule	
1808	Tablet, film coated	
1809	Tablet, film coated	
8825	Tablet	
10394	Tablet	
10395	Tablet	
9690	Powder, for suspension	
465	Capsule, delayed release / enteric coated / gastro-resistant	
1544	Capsule, delayed release / enteric coated / gastro-resistant	
1552	Capsule, delayed release / enteric coated / gastro-resistant	
1553	Capsule, delayed release / enteric coated / gastro-resistant	
1554	Capsule, delayed release / enteric coated / gastro-resistant	
1555	Injectable, lyophilised / freeze-dried / dry powder, for solution	
1668	Capsule, delayed release / enteric coated / gastro-resistant	
1811	Tablet, delayed release / enteric coated / gastro-resistant	
1846	Capsule, delayed release / enteric coated / gastro-resistant	
2504	Injectable, lyophilised / freeze-dried / dry powder, for solution	
3593	Capsule, delayed release / enteric coated / gastro-resistant	
3660	Capsule, delayed release / enteric coated / gastro-resistant	
4058	Injectable, lyophilised / freeze-dried / dry powder, for solution	
4271	Capsule, delayed release / enteric coated / gastro-resistant	
4272	Capsule, delayed release / enteric coated / gastro-resistant	
4452	Capsule, delayed release / enteric coated / gastro-resistant	
6025	Capsule, delayed release / enteric coated / gastro-resistant	
6026	Powder, for suspension	
6212	Capsule, delayed release / enteric coated / gastro-resistant	
6233	Capsule, delayed release / enteric coated / gastro-resistant	
6408	Capsule, delayed release / enteric coated / gastro-resistant	
6939	Injectable, lyophilised / freeze-dried / dry powder, for solution	
7012	Capsule, delayed release / enteric coated / gastro-resistant	
7750	Injectable, lyophilised / freeze-dried / dry powder, for solution	
7781	Capsule, delayed release / enteric coated / gastro-resistant	
8240	Capsule, delayed release / enteric coated / gastro-resistant	
8241	Capsule, delayed release / enteric coated / gastro-resistant	
8302	Capsule, delayed release / enteric coated / gastro-resistant	
8425	Injectable, powder, for solution	
8507	Tablet, delayed release / enteric coated / gastro-resistant	
8671	Capsule, delayed release / enteric coated / gastro-resistant	
8773	Injectable, lyophilised / freeze-dried / dry powder, for solution	
8858	Injectable, powder, for solution	
8923	Capsule, delayed release / enteric coated / gastro-resistant	
9128	Injectable, powder, for solution	
9181	Capsule, delayed release / enteric coated / gastro-resistant	
9342	Capsule, delayed release / enteric coated / gastro-resistant	
9574	Capsule, delayed release / enteric coated / gastro-resistant	
9692	Capsule, delayed release / enteric coated / gastro-resistant	
10147	Powder, for suspension	
1859	Tablet, delayed release / enteric coated / gastro-resistant	
5179	Tablet, delayed release / enteric coated / gastro-resistant	
5910	Tablet, delayed release / enteric coated / gastro-resistant	
5911	Tablet, delayed release / enteric coated / gastro-resistant	
5998	Tablet, delayed release / enteric coated / gastro-resistant	
6149	Tablet, delayed release / enteric coated / gastro-resistant	
6150	Tablet, delayed release / enteric coated / gastro-resistant	
6151	Tablet, delayed release / enteric coated / gastro-resistant	
6152	Tablet, delayed release / enteric coated / gastro-resistant	
6571	Tablet, delayed release / enteric coated / gastro-resistant	
6746	Tablet, delayed release / enteric coated / gastro-resistant	
7197	Injectable, powder, for solution	
7232	Tablet, delayed release / enteric coated / gastro-resistant	
7793	Injectable, lyophilised / freeze-dried / dry powder, for solution	
8125	Tablet, delayed release / enteric coated / gastro-resistant	
8868	Injectable, powder, for solution	
10037	Injectable, powder, for solution	
10082	Tablet, delayed release / enteric coated / gastro-resistant	
10925	Injectable, lyophilised / freeze-dried / dry powder, for solution	
794	Capsule, delayed release / enteric coated / gastro-resistant	
1728	Capsule, delayed release / enteric coated / gastro-resistant	
2719	Capsule, delayed release / enteric coated / gastro-resistant	
5144	Capsule, delayed release / enteric coated / gastro-resistant	
6668	Capsule, delayed release / enteric coated / gastro-resistant	
6669	Capsule, delayed release / enteric coated / gastro-resistant	
6926	Capsule, delayed release / enteric coated / gastro-resistant	
7613	Capsule, delayed release / enteric coated / gastro-resistant	
8644	Capsule, delayed release / enteric coated / gastro-resistant	
1867	Tablet, delayed release / enteric coated / gastro-resistant	
1869	Tablet, delayed release / enteric coated / gastro-resistant	
3757	Tablet, delayed release / enteric coated / gastro-resistant	
3758	Tablet, delayed release / enteric coated / gastro-resistant	
4830	Tablet, delayed release / enteric coated / gastro-resistant	
4831	Tablet, delayed release / enteric coated / gastro-resistant	
5079	Tablet, delayed release / enteric coated / gastro-resistant	
5080	Tablet, delayed release / enteric coated / gastro-resistant	
5081	Tablet, delayed release / enteric coated / gastro-resistant	
5082	Tablet, delayed release / enteric coated / gastro-resistant	
6398	Tablet, delayed release / enteric coated / gastro-resistant	
6438	Tablet, delayed release / enteric coated / gastro-resistant	
6439	Tablet, delayed release / enteric coated / gastro-resistant	
7622	Tablet, delayed release / enteric coated / gastro-resistant	
7734	Tablet, delayed release / enteric coated / gastro-resistant	
7775	Tablet, delayed release / enteric coated / gastro-resistant	
7776	Tablet, delayed release / enteric coated / gastro-resistant	
7778	Tablet, delayed release / enteric coated / gastro-resistant	
8472	Tablet, delayed release / enteric coated / gastro-resistant	
8473	Tablet, delayed release / enteric coated / gastro-resistant	
8474	Tablet, delayed release / enteric coated / gastro-resistant	
8475	Tablet, delayed release / enteric coated / gastro-resistant	
11049	Tablet, delayed release / enteric coated / gastro-resistant	
11050	Tablet, delayed release / enteric coated / gastro-resistant	
1510	Tablet, delayed release / enteric coated / gastro-resistant	
1511	Tablet, delayed release / enteric coated / gastro-resistant	
3539	Injectable, powder, for solution	
6181	Granules, gastro-resistant / delayed release	
6264	Capsule, delayed release / enteric coated / gastro-resistant	
6265	Capsule, delayed release / enteric coated / gastro-resistant	
6924	Tablet, delayed release / enteric coated / gastro-resistant	
6925	Tablet, delayed release / enteric coated / gastro-resistant	
7571	Capsule, delayed release / enteric coated / gastro-resistant	
7605	Capsule, delayed release / enteric coated / gastro-resistant	
7606	Capsule, delayed release / enteric coated / gastro-resistant	
7773	Tablet, delayed release / enteric coated / gastro-resistant	
7774	Tablet, delayed release / enteric coated / gastro-resistant	
7836	Injectable, powder, for solution	
7840	Tablet, delayed release / enteric coated / gastro-resistant	
8308	Tablet, delayed release / enteric coated / gastro-resistant	
8309	Tablet, delayed release / enteric coated / gastro-resistant	
8553	Capsule, delayed release / enteric coated / gastro-resistant	
8980	Injectable, powder, for solution	
9230	Tablet, delayed release / enteric coated / gastro-resistant	
9264	Tablet, delayed release / enteric coated / gastro-resistant	
9493	Injectable, powder, for solution	
7582	Capsule, delayed release / enteric coated / gastro-resistant	
7583	Capsule, delayed release / enteric coated / gastro-resistant	
