MoPHCode	DFSequence	Form	Route
7685	L5L6	Gargle / Mouthwash	OG-Oral gingival
4648	D3	Gel	O-Oral
6687	D3	Gel	O-Oral
6868	D3	Gel	O-Oral
9876	D3	Gel	O-Oral
4811	L5L6	Gargle / Mouthwash	OG-Oral gingival
5724	L7	Solution	OG-Oral gingival
8324	D3	Gel	OG-Oral gingival
9534	G2	Spray	OG-Oral gingival
8169	S1S2S7	Tablet, chewable	O-Oral
10439	S1S2S7	Tablet, chewable	O-Oral
1415	S1S2S7	Tablet, chewable	O-Oral
1416	S3S5L8	Suspension	O-Oral
3345	S1S2S7	Tablet, chewable	O-Oral
5036	S1S2S7	Tablet	O-Oral
5037	S3S5L8	Suspension	O-Oral
9595	S3S5L8	Suspension	O-Oral
10207	S3S5L8	Suspension	O-Oral
4509	S1S2S7	Capsule	O-Oral
1808	S1S2S7	Tablet, film coated	O-Oral
1809	S1S2S7	Tablet, film coated	O-Oral
8825	S1S2S7	Tablet	O-Oral
10394	S1S2S7	Tablet	V-Vaginal
10395	S1S2S7	Tablet	V-Vaginal
9690	S3S5L8	Powder, for suspension	O-Oral
465	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1544	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1552	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1553	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1554	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1555	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
1668	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1811	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
1846	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
2504	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
3593	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
3660	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
4058	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
4271	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
4272	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
4452	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6025	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6026	S3S5L8	Powder, for suspension	O-Oral
6212	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6233	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6408	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6939	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
7012	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7750	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
7781	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8240	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8241	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8302	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8425	C22C24C23C21	Injectable, powder, for solution	IV-Intravenous
8507	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8671	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8773	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-Infusion
8858	C22C24C23C21	Injectable, powder, for solution	Inf-Infusion
8923	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9128	C22C24C23C21	Injectable, powder, for solution	Inf-Infusion
9181	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9342	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9574	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
9692	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
10147	S3S5L8	Powder, for suspension	O-Oral
1859	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5179	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5910	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5911	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5998	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6149	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6150	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6151	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6152	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6571	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6746	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7197	C22C24C23C21	Injectable, powder, for solution	IV-Intravenous
7232	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
7793	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-IV-Infusion-Intravenous
8125	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
8868	C22C24C23C21	Injectable, powder, for solution	Inf-Infusion
10037	C22C24C23C21	Injectable, powder, for solution	Inf-IV-Infusion-Intravenous
10082	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
10925	C221C24	Injectable, lyophilised / freeze-dried / dry powder, for solution	Inf-IV-Infusion-Intravenous
794	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1728	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
2719	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
5144	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6668	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6669	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
6926	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
7613	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
8644	S21S71	Capsule, delayed release / enteric coated / gastro-resistant	O-Oral
1867	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
1869	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
3757	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
3758	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
4830	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
4831	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5079	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5080	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5081	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
5082	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6398	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6438	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
6439	S21S71	Tablet, delayed release / enteric coated / gastro-resistant	O-Oral
