MoPHCode,Stratum
28,B
30,A2
31,B
32,B
33,B
34,B
49,A2
52,A1
53,A1
54,B
55,A1
57,A1
59,A1
92,B
96,B
103,A2
117,A1
133,A1
138,A1
141,A1
164,A1
168,A1
169,A1
196,A1
197,A1
253,A1
259,A1
272,A1
274,A2
275,A2
276,A2
285,A2
291,A2
292,A1
319,A2
321,A1
322,A1
363,D
369,A1
411,A1
412,A1
416,A1
417,A1
437,A1
439,A1
441,A2
442,B
449,D
465,A1
480,A1
481,A1
482,A1
484,A2
490,B
491,B
508,A1
509,B
511,A1
513,A2
515,B
516,B
518,B
519,A1
521,B
522,D
528,A2
529,A2
530,A2
531,B
542,A1
544,A1
545,A1
550,B
554,B
557,A2
570,A1
571,A1
572,A1
573,A1
579,A2
585,A1
603,A1
611,A1
612,A1
618,A1
622,A1
624,A1
637,B
638,A2
639,A2
688,B
730,A1
731,A1
733,A1
753,A1
754,A1
755,B
759,A1
760,A2
761,A2
765,A2
767,A1
771,A2
772,B
786,A1
790,A1
792,A1
793,A1
794,A1
796,A1
797,A1
798,A1
803,A1
804,A1
806,A1
808,A1
845,C
850,A2
856,A2
867,B
868,B
869,C
870,C
885,A1
889,B
890,B
893,B
897,A1
899,B
955,B
956,D
957,A2
958,A1
966,C
968,A1
969,A1
973,A2
974,A1
975,A1
978,A1
983,A2
988,A2
993,A1
998,A2
1001,A1
1002,A1
1007,A2
1008,B
1009,B
1025,A1
1026,B
1028,B
1037,A1
1038,A1
1039,A1
1057,B
1058,B
1062,A1
1068,B
1069,B
1083,B
1084,A2
1086,A2
1087,A1
1088,A1
1089,A1
1095,A1
1096,B
1097,B
1099,A2
1104,A1
1105,A1
1106,A1
1121,B
1122,A2
1123,B
1124,A2
1129,A1
1130,A1
1131,A1
1132,A1
1134,A1
1137,A1
1139,A1
1141,A1
1151,A1
1157,A1
1161,B
1162,B
1163,A2
1164,B
1167,A2
1169,A1
1177,A2
1179,A2
1191,A1
1192,A1
1193,A1
1194,A1
1204,A1
1205,A1
1210,A1
1211,A1
1239,A1
1240,A1
1241,B
1248,B
1253,A1
1255,A2
1256,B
1260,B
1263,A1
1271,B
1274,A1
1277,A1
1278,A1
1290,C
1292,A2
1301,A1
1302,B
1309,A1
1310,A1
1311,A1
1312,A2
1337,A1
1338,A1
1340,B
1341,A1
1342,A1
1343,A1
1350,A1
1351,A1
1352,A1
1356,B
1362,A1
1363,A1
1369,A1
1372,A1
1373,A1
1381,A2
1382,A2
1383,A1
1384,A1
1385,A1
1386,A1
1394,A1
1395,A1
1402,A1
1403,A1
1415,A1
1416,A1
1433,C
1434,D
1440,A1
1453,A1
1454,A1
1455,A1
1459,A1
1460,A1
1475,A1
1478,A1
1479,A1
1490,A1
1491,A1
1492,E1
1493,E2
1494,B
1497,A1
1498,A1
1499,A2
1503,A2
1510,A2
1511,A2
1523,A1
1525,A1
1527,A1
1531,A2
1542,A1
1543,A1
1544,A1
1548,A1
1551,A1
1552,A1
1553,A1
1554,A1
1555,A1
1556,A1
1557,A1
1559,A1
1564,A1
1570,A2
1571,A2
1575,A1
1579,A1
1580,B
1581,B
1589,A1
1591,A1
1595,B
1602,B
1606,A1
1610,A1
1617,A1
1618,A1
1629,A1
1630,A2
1636,A2
1641,A1
1642,A1
1643,A1
1644,A1
1646,C
1651,A1
1652,A1
1658,A1
1659,A1
1660,A1
1662,A1
1664,A1
1665,A1
1668,A1
1671,A1
1679,A1
1681,A1
1682,A1
1685,A1
1686,A1
1689,A1
1705,A1
1709,A1
1710,A1
1711,A2
1712,A2
1713,A2
1720,A1
1721,A1
1722,A1
1725,A1
1726,A1
1727,A2
1728,A1
1731,D
1732,B
1735,A1
1736,A1
1746,A1
1747,A1
1752,A2
1757,A2
1758,A2
1759,A1
1765,A1
1766,A1
1770,A1
1772,A1
1779,D
1780,B
1781,A2
1800,A2
1801,A2
1808,A1
1809,A1
1811,A1
1812,A1
1819,A1
1820,A1
1822,A1
1823,A1
1832,A1
1835,A1
1837,A1
1839,A1
1840,A1
1842,A1
1846,A1
1847,A1
1848,A1
1849,A1
1850,A1
1852,A1
1853,A1
1854,A1
1855,A1
1857,A1
1858,A1
1859,A2
1860,A1
1861,A1
1862,A1
1864,A1
1865,A1
1867,A1
1869,A2
1870,A1
1872,A2
1877,A1
1878,A1
1879,A1
2010,A1
2012,A1
2014,C
2015,D
2016,B
2017,B
2018,B
2019,B
2023,A2
2025,A2
2028,A2
2029,A2
2036,A1
2038,A1
2041,A1
2043,A1
2045,A1
2085,B
2096,A2
2097,A1
2124,B
2127,A2
2137,B
2139,B
2140,B
2156,B
2157,B
2177,A1
2179,A1
2198,A2
2199,B
2217,E1
2219,B
2220,B
2222,A2
2224,E2
2226,A1
2227,A2
2241,B
2248,A1
2249,A1
2250,B
2251,A1
2263,B
2265,A2
2266,B
2267,D
2268,D
2271,C
2272,B
2273,B
2277,A1
2279,A1
2280,A1
2281,A1
2282,A1
2283,A1
2284,B
2285,A1
2287,B
2288,A1
2289,A1
2293,B
2295,A2
2308,A2
2322,A2
2326,A2
2332,A1
2334,A1
2344,A1
2345,A1
2349,A1
2350,A1
