1,S1S2S7,Caplet,"Caplet, coated","Caplet, film coated",Capsule,"Capsule, coated","Capsule, hard","Capsule, microionized","Capsule, soft / liquid gel / liquid filled / soft gelatin",Pulvule,Tablet,"Tablet, chewable","Tablet, coated","Tablet, dispersible","Tablet, effervescent","Tablet, film coated","Tablet, lyophilised / freeze-dried","Tablet, microgranules","Tablet, orally disintegrating / mouth dissolving / orodispersible","Tablet, repetab","Tablet, sugar coated",Capsules ADD Capsules ADD Tablets,Tablet ADD capsule,Tablet CHOOSE scored,"Tablet, coated CHOOSE scored","Tablet, dispersible ADD Tablet, chewable","Tablet, effervescent CHOOSE scored","Tablet, film coated CHOOSE scored"
2,S21S71,"Capsule, delayed release / enteric coated / gastro-resistant","Tablet, delayed release / enteric coated / gastro-resistant",,,,,,,,,,,,,,,,,,,,,,,,,
3,S22S72,"Capsule, controlled release / extended release / modified release / prolonged release / slow release / sustained release","Tablet, controlled release / extended release / modified release / prolonged release / slow release / sustained release","Add option if coated, film coated or sugar coated",,,,,,,,,,,,,,,,,,,,,,,,
4,S22S722,"Capsule, dual release",,,,,,,,,,,,,,,,,,,,,,,,,,
5,S23S53G18G11G12L71L8,"Capsule, inhalation","Powder, inhalation",Rotacaps,"Solution, inhalation","Suspension, inhalation",,,,,,,,,,,,,,,,,,,,,,
6,S31S5L8,"Granules, gastro-resistant / delayed release","Granules, prolonged release",Add option if more than one dosage-form,Add tick for suspension,,,,,,,,,,,,,,,,,,,,,,,
7,S3S5L8,Granules,Granules for solution,Granules for suspension,"Granules, effervescent",Powder,"Powder, effervescent","Powder, for solution","Powder, for suspension",,,,,,,,,,,,,,,,,,,
8,S4,Lozenge,,,,,,,,,,,,,,,,,,,,,,,,,,
9,S6,Pessary,Suppository,Vaginal delivery system,,,,,,,,,,,,,,,,,,,,,,,,
10,D1,Cream,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D12,Lipocream,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D2,"Film, orodispersible",Film forming solution,"Film, orally soluble",,,,,,,,,,,,,,,,,,,,,,,,
13,D3,Gel,Jelly,Creamgel,Emulsion Gel,,,,,,,,,,,,,,,,,,,,,,,
14,D4,Lotion,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D5,Ointment,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D6,Shampoo,,,,,,,,,,,,,,,,,,,,,,,,,,
17,L1,"Drops, concentrated","Drops, solution","Drops, suspension",,,,,,,,,,,,,,,,,,,,,,,,
18,L2,Elixir,,,,,,,,,,,,,,,,,,,,,,,,,,
19,L3,Emulsion,,,,,,,,,,,,,,,,,,,,,,,,,,
20,L4,Enema,,,,,,,,,,,,,,,,,,,,,,,,,,
21,L5L6,Gargle / Mouthwash,,,,,,,,,,,,,,,,,,,,,,,,,,
22,L7,Solution,,,,,,,,,,,,,,,,,,,,,,,,,,
23,L72,"Solution, film forming",,,,,,,,,,,,,,,,,,,,,,,,,,
24,L9,Syrup,,,,,,,,,,,,,,,,,,,,,,,,,,
25,LW,"Water, for injection / for irrigation",,,,,,,,,,,,,,,,,,,,,,,,,,
26,G14G24,Metered dose spray,Metered dose inhaler,,,,,,,,,,,,,,,,,,,,,,,,,
27,G15,Respule,,,,,,,,,,,,,,,,,,,,,,,,,,
28,G17,Volatile liquid,,,,,,,,,,,,,,,,,,,,,,,,,,
29,G2,Spray,,,,,,,,,,,,,,,,,,,,,,,,,,
30,C1,Foam,,,,,,,,,,,,,,,,,,,,,,,,,,
31,C21,Injectable concentrate for solution,Injectable emulsion,Injectable solution,,,,,,,,,,,,,,,,,,,,,,,,
32,C221C24,Injectable lyophilized / freeze-dried / dry powder,Add option with diluent,,,,,,,,,,,,,,,,,,,,,,,,,
33,C222C24,"Injectable, lyophilized / freeze-dried / dry powder, prolonged release",,,,,,,,,,,,,,,,,,,,,,,,,,
34,C222C242,"Injectable, powder, for suspension, prolonged release",,,,,,,,,,,,,,,,,,,,,,,,,,
35,C223C24,"Injectable, powder, for liposomal dispersion",,,,,,,,,,,,,,,,,,,,,,,,,,
36,C22C24,"Injectable, powder, for solution","Injectable, powder, for suspension",Add option if concentrated,Add option if with diluent / solvent,,,,,,,,,,,,,,,,,,,,,,,
37,C23,"Injectable, solution","Injectable, solution concentrate",,,,,,,,,,,,,,,,,,,,,,,,,
38,O1,Adhesive plaster,,,,,,,,,,,,,,,,,,,,,,,,,,
39,O2,Gauze,,,,,,,,,,,,,,,,,,,,,,,,,,
40,O3,Implant,,,,,,,,,,,,,,,,,,,,,,,,,,
41,O4,Patch,,,,,,,,,,,,,,,,,,,,,,,,,,
42,O5,Ring,,,,,,,,,,,,,,,,,,,,,,,,,,
