ATC	Code
J07BC02	28
J07AX	30
J07BK01	31
J07BC01	32
J07BC02	33
J07CA06	34
N03AF01	49
N03AB02	52
N03AG01	53
N03AG01	54
A11DB	55
M01AB05	57
M01AB05	59
A05AA02	92
A07EC02	96
N03AB02	103
G03DA04	117
G03HA01	133
G03HB01	138
G03AB03	141
D04AB01	164
S02DA01	168
A07FA02	169
N02BE01	196
N02AJ06	197
R05CA12	253
D02AX	259
C01CA26	272
V07AB01	274
V07AB01	275
V07AB01	276
B05XA01	285
B05XA03	291
B05XA03	292
N02CC04	319
C09AA02	321
C09AA02	322
M03AX01	363
S01BA04	369
J01FF01	411
J01FF01	412
H02AB04	416
H02AB04	417
H02AB09	437
H02AB04	439
H02AB04	441
H02AB04	442
C01EA01	449
A02BC01	465
C07AB03	480
C07AB03	481
M01AB16	482
R06AX22	484
B01AB11	490
B01AB11	491
D07AC01	508
G03GA05	509
J05AB01	511
L01AA01	513
L01AA06	515
L01AA06	516
V03AF01	518
R03AC02	519
H01CC02	521
H01CC02	522
N03AG01	528
N03AG01	529
M01AB05	530
N03AF01	531
G03BA03	542
G03AA12	544
G03HB01	545
J05AB01	550
M09AX01	554
N01BB58	557
N05CD08	570
M02AA	571
N02AX02	572
C04AX21	573
S01ED51	579
D06BB03	585
R03AC02	603
D07AC01	611
D07AC01	612
J01DC02	618
J01DC02	622
R01AD08	624
R03BA05	637
R03BA05	638
R03BA05	639
J05AB01	688
J01CR02	730
J01CR02	731
J01CR02	733
J01DD08	753
J01DD08	754
J01DD04	755
D07XC04	759
J01DD13	760
J01DD13	761
M02AA15	765
M01AB05	767
D06BA51	771
D06BA51	772
J01MA02	786
J01CR02	790
J01CR02	792
J01CR02	793
A02BC03	794
M01AB05	796
M01AB05	797
M01AB05	798
R06AX13	803
R06AX13	804
J01CR02	806
J01FA10	808
L04AD01	845
H01CB02	850
D01BA02	856
L04AD01	867
L04AD01	868
L04AD01	869
L04AD01	870
N06BA04	885
R03AC13	889
L02BG04	890
J01CA04	893
A10BA02	897
J01CA04	899
L01CD01	955
L01CD01	956
A07CA	957
P01AB01	958
V03AB14	966
G03DA04	968
G03DA04	969
S01EC01	973
M04AA01	974
M04AA01	975
