MoPHCode,rep,2019,2021,2022,2023,2024,2025,2026,2027,2028,registrationDate,registrationMonth,registrationYear
9876,,,,,,,,,2027,,24,4,2019
4648,,,,,2023,,,,,,,,
6868,,,,,,2024,,,,,6,7,2012
6687,,,,,,,,2026,,,4,5,2012
4811,,,,,2023,,,,,,,,
5724,,,,,,2024,,,,,11,11,2009
8169,,,,,,,,,2027,,14,5,2015
10439,,,,,,,2025,,,,25,11,2021
3345,,,,,,,2025,,,,7,2,2003
9595,,,,2022,,,,,,,14,8,2018
10207,,,,,,,,,,2028,26,2,2020
4509,,,,,2023,,,,,,,,
1808,,,,,,,,2026,,,22,5,2002
11827,,,,,,,,,,2028,14,3,2024
1809,,,,,,,,2026,,,22,5,2002
11828,,,,,,,,,,2028,14,3,2024
8825,,,,,,,,,,2028,12,11,2015
10395,,,,,,2024,,,,,2,10,2020
10394,,,,,,2024,,,,,2,10,2020
9690,,,,,2023,,,,,,10,9,2018
8923,,,,,2023,,,,,,27,6,2016
4272,,,,,2023,,,,,,,,
9574,,,,2022,,,,,,,20,6,2018
6212,,,,,2023,,,,,,19,10,2010
11468,,,,,,,,,2027,,20,3,2023
11469,,,,,,,,,2027,,20,3,2023
6233,,,,,2023,,,,,,9,4,2011
3593,REP,,2021,,,,,,,,4,4,2003
11610,,,,,,,,,2027,,10,1,2023
11472,,,,,,,,,2027,,8,3,2023
9181,,,,,,,,2026,,,5,1,2017
8507,,,,,,,,2026,,,4,2,2016
4452,,,,,2023,,,,,,,,
8671,,,,,2023,,,,,,20,4,2016
11109,,,,,,,,2026,,,30,9,2022
7012,,,,,,,,2026,,,24,12,2012
9342,,,,,,,,2026,,,20,11,2017
1553,,,,2022,,,,,,,9,3,1997
3117,,,,,,,,,2027,,11,11,1998
11331,,,,,,,,,2027,,16,2,2023
11698,,,,,,,,,,2028,16,10,2023
11699,,,,,,,,,,2028,16,10,2023
6025,,,,,2023,,,,,,8,9,2010
1554,,,,2022,,,,,,,2,4,1998
2504,,,,,,2024,,,,,7,11,2003
6939,,,,,,,,,,2028,9,1,2013
9128,,,,,,,,,2027,,2,12,2014
8858,,,,,,,,,,2028,19,12,2016
8425,,,,,,,,,,2028,16,12,2015
11328,,,,,,,,,2027,,2,3,2023
1555,,,,,,,,,,2028,4,2,2003
7750,,,,,,,,,,2028,29,9,2014
8773,,,,,,2024,,,,,2,9,2016
