DrugId,UnitQuantity1,UnitType1,UnitQuantity2,UnitType2,PackageQuantity1,PackageType1,PackageQuantity2,PackageType2,PackageQuantity3,PackageType3,Description
3157,30,g,,,,,,,,,30 g
4140,40,g,,,,,,,,,40 g
4242,20,g,,,,,,,,,20 g
6387,40,g,,,1,Tube,,,,,1 Tube of 40 g
3626,10,ml,,,1,Bottle,,,,,"1 Bottle of 10 ml, with applicator"
5056,48,Pill,,,,,,,,,48 Pills
6903,48,Pill,,,,,,,,,48 Pills
2561,30,Pill,,,,,,,,,30 pills
6128,200,ml,,,,,,,,,200 ml
6692,250,ml,,,,,,,,,250 ml
2287,20,Pill,,,,,,,,,20 Pills
2288,10,Pill,,,,,,,,,10 Pills
7506,,,,,,,,,,,
7507,,,,,,,,,,,
5516,28,Pill,,,,,,,,,28 Pills
6859,8,Pill,,,,,,,,,8 Pills
6860,4,Pill,,,,,,,,,4 Pills
6212,,,,,15,Packet / Sachet,,,,,15 Packets / Sachets
2210,14,Pill,,,,,,,,,14 Pills
2211,14,Pill,,,,,,,,,14 pills
2212,,,,,1,vial,,,,,1 Vial
2427,,,,,5,vial,,,,,5 Vials
2626,14,Pill,,,,,,,,,14 Pills
2898,14,Pill,,,,,,,,,14 Pills
3021,14,Pill,,,,,,,,,14 Pills
3777,14,Pill,,,,,,,,,14 Pills
3778,,,,,12,Packet / Sachet,,,,,12 Packet / Sachets
3859,14,Pill,,,,,,,,,14 Pills
3873,28,Pill,,,,,,,,,28 Pills
4280,,,,,10,vial,,,,,10 Vials
4323,30,Pill,,,,,,,,,30 Pills
4802,,,,,1,vial,,,,,1 Vial
5230,,,,,1,vial,1,ampule,,,1 vial and 1 ampule of solvant
5293,504,Pill,,,,,,,,,504 Pills
5402,30,Pill,,,,,,,,,30 Pills
5477,,,,,10,vial,,,,,10 Vials
5545,,,,,1,vial,,,,,1 Vial
5594,28,Pill,,,,,,,,,28 Pills
5751,,,,,50,vial,,,,,50 Vials
5790,56,Pill,,,,,,,,,56 Pills
5913,10,Pill,,,,,,,,,10 Pills
6109,30,Pill,,,,,,,,,30 Pills
6636,,,,,30,Packet / Sachet,,,,,30 Packet / Sachets
7508,,,,,,,,,,,
7509,,,,,,,,,,,
7510,,,,,,,,,,,
7511,,,,,,,,,,,
7512,,,,,,,,,,,
7513,,,,,,,,,,,
7514,,,,,,,,,,,
7515,,,,,,,,,,,
7516,,,,,,,,,,,
7517,,,,,,,,,,,
2312,14,Pill,,,,,,,,,14 Pills
3716,30,Pill,,,,,,,,,30 Pills
3717,15,Pill,,,,,,,,,15 Pills
3764,15,Pill,,,,,,,,,15 Pills
3835,15,Pill,,,,,,,,,15 Pills
3836,30,Pill,,,,,,,,,30 Pills
3837,15,Pill,,,,,,,,,15 Pills
3838,30,Pill,,,,,,,,,30 Pills
4065,14,Pill,,,,,,,,,14 Pills
4439,,,,,1,vial,,,,,1 Vial
4457,15,Pill,,,,,,,,,15 Pills
4834,,,,,1,vial,,,,,1 Vial
5034,14,Pill,,,,,,,,,14 Pills
5551,,,,,1,vial,,,,,1 Vial
6576,30,Pill,,,,,,,,,30 Pills
7374,,,,,10,vial,,,,,10 Vials
7518,,,,,,,,,,,
2035,14,Pill,,,,,,,,,14 Pills
4129,15,Pill,,,,,,,,,15 Pills
4130,15,Pill,,,,,,,,,15 Pills
4710,30,Pill,,,,,,,,,30 Pills
5383,30,Pill,,,,,,,,,30 Pills
2675,28,Pill,,,,,,,,,28 Pills
2676,14,Pill,,,,,,,,,14 Pills
3262,14,Pill,,,,,,,,,14 Pills
3302,10,Pill,,,,,,,,,10 Pills
3303,30,Pill,,,,,,,,,30 Pills
3996,10,Pill,,,,,,,,,10 Pills
4715,28,Pill,,,,,,,,,28 Pills
4793,30,Pill,,,,,,,,,30 Pills
4822,14,Pill,,,,,,,,,14 Pills
4823,28,Pill,,,,,,,,,28 Pills
7498,28,Pill,,,,,,,,,28 Pills
2198,28,Pill,,,,,,,,,28 Pills
2199,28,Pill,,,,,,,,,28 Pills
3847,,,,,28,Packet / Sachet,,,,,28 Packet / Sachets
3892,28,Pill,,,,,,,,,28 Pills
3893,28,Pill,,,,,,,,,28 Pills
4684,14,Pill,,,,,,,,,14 Pills
4820,15,Pill,,,,,,,,,15 Pills
4821,14,Pill,,,,,,,,,14 Pills
4849,,,,,1,vial,,,,,1 Vial
4853,10,Pill,,,,,,,,,10 Pills
5327,14,Pill,,,,,,,,,14 Pills
5632,,,,,1,vial,,,,,1 Vial
5856,28,Pill,,,,,,,,,28 Pills
7519,,,,,,,,,,,
7520,,,,,,,,,,,
7521,,,,,,,,,,,
7522,,,,,,,,,,,
12288,,,,,,,,,,,
7523,,,,,,,,,,,
7524,,,,,,,,,,,
4747,30,Pill,,,,,,,,,30 Pills
7525,,,,,,,,,,,
2540,,,,,30,Packet / Sachet,,,,,30 Packet / Sachets
2601,200,ml,,,,Bottle,,,,,Bottle of 200 ml
5567,,,,,30,Packet / Sachet,,,,,30 Packet / Sachets
6482,300,ml,,,,,,,,,300 ml
7098,32,Pill,,,,,,,,,32 Pills
7305,300,ml,,,,,,,,,300 ml
7526,,,,,,,,,,,
4206,30,Pill,,,,,,,,,30 Pills
2315,48,Pill,,,,,,,,,48 Pills
3392,30,Pill,,,,,,,,,30 Pills
7042,30,Pill,,,,,,,,,30 Pills
5364,10,ml,,,10,vial,,,,,10 vials of 1 ml each
2654,30,Pill,,,,,,,,,30 Pills
6706,30,Pill,,,,,,,,,30 Pills
2076,30,Pill,,,,,,,,,30 Pills
2304,30,Pill,,,,,,,,,30 Pills
3046,120,ml,,,1,Bottle,,,,,1 Bottle of 120 ml
4671,30,Pill,,,,,,,,,30 Pills
5736,10,ml,,,1,ampule,,,,,1 Ampule of 10 ml
2200,15,ml,,,,,,,,,15 ml
2201,33,Pill,,,,,,,,,33 Pills
2740,30,Pill,,,,,,,,,30 Pills
4519,30,ml,,,,,,,,,30 ml
2525,30,Pill,,,,,,,,,30 Pills
2352,10,ml,,,10,ampule,,,,,10 Ampules of 1 ml each
2353,10,ml,,,10,ampule,,,,,10 Ampules of 1 ml each
2856,,,,,,,,,,,
2868,10,ml,,,10,ampule,,,,,10 Ampules of 1 ml each
3267,100,ml,,,100,ampule,,,,,100 Ampules of 1 ml each
7476,10,ml,,,10,Pre-filled syringe,,,,,10 Pre-Filled Syringes of 1 ml each
2220,5,ml,,,5,ampule,,,,,5 Ampules of 1 ml each
2537,10,ml,,,10,ampule,,,,,10 Ampules of 1 ml each
2671,20,Pill,,,,,,,,,20 Pills
2672,100,ml,,,,,,,,,100 ml
4911,5,ml,,,5,ampule,,,,,5 Ampules of 1 ml each
5716,50,ml,,,50,ampule,,,,,50 Ampules of 1 ml each
6047,50,Pill,,,,,,,,,50 Pills
6048,20,Pill,,,,,,,,,20 Pills
2970,30,Pill,,,,,,,,,30 Pills
2993,30,Pill,,,,,,,,,30 Pills
3150,30,Pill,,,,,,,,,30 Pills
5218,30,Pill,,,,,,,,,30 Pills
6025,30,Pill,,,,,,,,,30 Pills
2945,25,ml,,,,,,,,,25 ml
4675,10,Pill,,,,,,,,,10 Pills
2421,42,Pill,,,,,,,,,42 Pills
3061,20,Pill,,,,,,,,,20 Pills
5324,100,Pill,,,,,,,,,100 Pills
5325,30,Pill,,,,,,,,,30 Pills
2479,20,ml,,,10,ampule,,,,,10 Ampules of 2 ml each
4779,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
5554,20,ml,,,10,ampule,,,,,10 Ampules of 2 ml each
5717,100,ml,,,50,ampule,,,,,50 Ampules of 2 ml each
6137,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
6251,20,ml,,,20,ampule,,,,,20 Ampules of 1 ml each
2254,30,Pill,,,,,,,,,30 Pills
2302,24,Pill,,,,,,,,,24 Pills
2303,120,ml,,,,,,,,,120 ml
3017,30,Pill,,,,,,,,,30 Pills
3288,20,Pill,,,,,,,,,20 Pills
3765,200,ml,,,,,,,,,200 ml
3855,30,Pill,,,,,,,,,30 Pills
4619,30,Pill,,,,,,,,,30 Pills
6386,200,ml,,,,,,,,,200 ml
7527,,,,,,,,,,,
7528,,,,,,,,,,,
5764,50,Pill,,,,,,,,,50 Pills
2739,20,Pill,,,,,,,,,20 Pills
3016,10,Pill,,,,,,,,,10 Pills
3440,40,ml,,,10,ampule,,,,,10 Ampules of 4 ml each
3590,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
4759,20,ml,,,5,ampule,,,,,5 Ampules of 4 ml each
4861,2,ml,,,1,ampule,,,,,1 Ampule of 2 ml
4862,4,ml,,,1,ampule,,,,,1 Ampule of 4 ml
5019,20,ml,,,5,ampule,,,,,5 Ampules of 4 ml each
5589,10,Pill,,,,,,,,,10 Pills
5617,20,ml,,,5,ampule,,,,,5 Ampules of 4 ml each
5618,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
5621,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
5663,4,Pill,,,,,,,,,4 Pills
5718,4,Pill,,,,,,,,,4 Pills
5741,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
5742,20,ml,,,5,ampule,,,,,5 Ampules of 4 ml each
6037,100,ml,,,,,,,,,100 ml
6125,10,Pill,,,,,,,,,10 Pills
6439,60,ml,,,,,,,,,60 ml
6494,20,ml,,,5,ampule,,,,,5 Ampules of 4 ml each
6495,10,ml,,,5,ampule,,,,,5 Ampules of 2 ml each
6806,10,Pill,,,,,,,,,10 Pills
6807,10,Pill,,,,,,,,,10 Pills
