MoPHCode	RegistrationNumber	ResponsibleParty	ResponsiblePartyCountry	CargoShippingTerms
9876	7919/1	Janssen Cilag NV	Belgium	CIF
4648	28560/93			FOB
6868	166907/11	Medical Union Pharmaceuticals Company	Egypt	CIF
6687	218913/10	Dar Al Dawa	Jordan	CIF
4811	14294			FOB
5724	218036/09	Riyadh Pharma Medical and Cosmetic Products Co Ltd	Saudi Arabia	CIF
8169	54115/1	Bayer Consumer Care AG	Switzerland	CIF
10439	38020/1	GlaxoSmithKline Consumer Healthcare Holdings (US) LLC, Warren	USA	CIF
3345	208964/03	Sanofi SpA	Italy	CIF
9595	61618/1	Wallace Manufacturing Chemists Ltd	UK	CIF
10207	100219/1	Sanofi SpA	Italy	CIF
4509	15548			FOB
1808	767292/00			CIF
11827	27024/1	Normon SA	Spain	CIF
1809	767293/00			CIF
11828	27124/1	Normon SA	Spain	CIF
8825	125615/1	Pfizer Ltd	UK	CIF
10395	12020/1	Bial- Portela & Ca, SA		CIF
10394	12120/1	Bial- Portela & Ca, SA	Portugal	CIF
9690	71116/1	Laboratorios Casasco S.A.I.C.	Argentine	CIF
8923	47016/1	Arafarma Group SA	Spain	CIF
4272	974221/01			FOB
9574	76018/1			FOB
6212	218836/09	European Egyptian Pharmaceutical Industries	Egypt	CIF
11468	108422/1	Normon SA	Spain	CIF
11469	108522/1	Normon SA	Spain	CIF
6233	167721/10	Korhispana SL	Spain	CIF
3593	405471/00			CIF
11610	2023/1	RAM Pharmaceutical Industries Co Ltd	Jordan	CIF
11472	118321/1	GP-Genericos Portugueses, LDA	Portugal	CIF
9181	103316/1	Pensa Pharma SAU	Spain	CIF
8507	169115/1	Dar Al Dawa	Jordan	CIF
4452	208329/97			FOB
8671	185908/13	Pharmadex	Lebanon	FOB
11109	121222/1			FOB
7012	222497/08	Benta SAL	Lebanon	FOB
9342	147517/1			FOB
1553	261381/98			CIF
3117	236283/98	Pharminicio SL	Spain	CIF
11331	147222/1			FOB
11698	101422/1	Normon SA	Spain	CIF
11699	101722/1			CIF
6025	218600/10			FOB
1554	78754/98			CIF
2504	208991/03	Anfarm Hellas SA	Greece	CIF
6939	097201/12	Les Laboratoires Medis SA	Tunisia	CIF
9128	187455/13	Swiss Exports PVT - Ltd	India	CIF
8858	119116/1	Arrow Génériques	France	CIF
8425	124214/1	Vianex SA	Greece	CIF
11328	14123/1			FOB
1555	973916/02			CIF
7750	66714/1			FOB
8773	106916/1			FOB
6026	219520/09			FOB
10147	22819/1			FOB
