NSSF CODES,Operation,LOS,Surgeon,Anesthetist,2 Consultants,Hospital I,Hospital II,Hospital III,Total I,Total II,Total III,Notes
11770,Excision of pilonidal  cyst or sinus,1,9500000,3000000,4000000,25000000,20000000,17000000,41500000,36500000,33500000,
13160,"Secondary closure  of surgical  wound or
dehiscence  extensive  or complicated",1,15000000,6000000,4000000,33000000,29000000,26000000,58000000,54000000,51000000,
14000,"Adjacent tissue  transfer or rearrangement:
defect up to 10 sq cm",1,15000000,6000000,4000000,33000000,29000000,26000000,58000000,54000000,51000000,
14001,"Adjacent tissue  transfer or rearrangement:
defect 11 to 30 sq cm",1,15000000,6000000,4000000,33000000,29000000,26000000,58000000,54000000,51000000,
14300,"Adjacent tissue  transfer or rearrangement:
defect more  than 30 sq cm",1,15000000,6000000,4000000,33000000,29000000,26000000,58000000,54000000,51000000,
15732 E,"Muscle, myocutaneous, or fasciocutaneous",1,26500000,9000000,4000000,56000000,51000000,45000000,95500000,90500000,84500000,
15770 E,Graft: derma-fat fascia ,1,26500000,9000000,4000000,56000000,51000000,45000000,95500000,90500000,84500000,
15920,"Excision decubitus  ulcer, coccygeal, with
coccygectomy: with primary suture",1,15000000,6000000,4000000,27000000,24000000,21000000,52000000,49000000,46000000,
15922,"Excision decubitus  ulcer, coccygeal, with
coccygectomy: with flap cl osure",1,15000000,6000000,4000000,27000000,24000000,21000000,52000000,49000000,46000000,
15933,"Excision decubitus  ulcer, sacral, ischial, or
trocha nteri c,  wi th or wi thout os tectomy",1,15000000,6000000,4000000,27000000,24000000,21000000,52000000,49000000,46000000,
16010,"Dressings  and/or debridement, initial  or
subsequent: under general  anesthesia, up to 9% of total  body surface  area",2,9500000,5000000,4000000,23000000,20000000,17000000,41500000,38500000,35500000,
16015,"Dressings  and/or debridement, initial  or
subsequent: under general  anesthesia, fa ce or hand, or over 9% of total  body surface  area",2,15000000,5000000,4000000,27000000,24000000,21000000,51000000,48000000,45000000,
19160,"Mastectomy, partial, for excision of cyst or
tumor",1,12000000,4500000,4000000,26000000,23000000,20000000,46500000,43500000,40500000,
19162,"Mastectomy, partial: with axillary
lymphadenectomy",1,37000000,12000000,4000000,96000000,86000000,73500000,149000000,139000000,126500000,
19180,"Mastectomy, simple, complete",1,22000000,7500000,4000000,35000000,28000000,23000000,68500000,61500000,56500000,
19240,"Mastectomy, modified radical, including axillary lymph nodes  with or without
pectoralis  minor muscle, but excluding
pectoralis  major muscle ",5,37000000,12000000,4000000,116000000,104000000,92000000,169000000,157000000,145000000,
19200,"Mastectomy, radical, including pectoral 
muscles, axillary lymph nodes",5,37000000,12000000,4000000,116000000,104000000,92000000,169000000,157000000,145000000,
20525,"Removal  of foreign body in muscle  or tendon
sheath: deep or complicated",1,11000000,3500000,4000000,29000000,24000000,20000000,47500000,42500000,38500000,
21015,"Radical  resection of tumor (eg, malignant
neoplasm) of soft tissues  of face  or scalp ",2,11500000,3500000,4000000,29000000,24000000,20000000,48000000,43000000,39000000,
21501,"Incision and drainage  of deep abscess  or
hematoma  of soft tissues  of neck or thorax",1,11500000,3500000,4000000,23500000,18500000,14500000,42500000,37500000,33500000,
