Code	SystemChar	Anesthetic	Name	LOS	FirstSurgeon	FirstAnesthetist	FirstConsultant	FirstHospital1	FirstHospital2	FirstHospital3	FirstCategory1	FirstCategory2	FirstCategory3	SecondSurgeon	SecondAnesthetist	SecondHospital1	SecondHospital2	SecondHospital3	SecondCategory1	SecondCategory2	SecondCategory3
A9433G	A	G	Tympanostomy (requiring insertion of ventilating tube)	1	9,000,000	5,850,000	4,500,000	21,300,000	19,170,000	17,040,000	40,650,000	38,520,000	36,390,000	5,400,000	3,510,000	12,780,000	11,502,000	10,224,000	21,690,000	20,412,000	19,134,000
A9635G	A	G	Tympanoplasty with antrotomy or mastoidectomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair): with or without ossicular chain reconstruction, any method	2	49,500,000	16,200,000	4,500,000	121,500,000	109,350,000	97,200,000	191,700,000	179,550,000	167,400,000	29,700,000	9,720,000	72,900,000	65,610,000	58,320,000	112,320,000	105,030,000	97,740,000
C3200G	C	G	Insertion of permanent pacemaker any method	1	22,500,000	7,200,000	4,500,000	41,500,000	37,350,000	33,200,000	75,700,000	71,550,000	67,400,000	13,500,000	4,320,000	24,900,000	22,410,000	19,920,000	42,720,000	40,230,000	37,740,000
C3245G	C	G	Implantation of automatic implantable cardioverter-defibrillator pads with or without sensing electrodes	1	22,500,000	7,200,000	4,500,000	40,500,000	36,450,000	32,400,000	74,700,000	70,650,000	66,600,000	13,500,000	4,320,000	24,300,000	21,870,000	19,440,000	42,120,000	39,690,000	37,260,000
C3400G	C	G	Valvuloplasty, aortic valve, open W/CPB	5	99,000,000	52,125,000	6,750,000	612,700,000	551,430,000	490,160,000	770,575,000	709,305,000	648,035,000	59,400,000	31,275,000	367,620,000	330,858,000	294,096,000	458,295,000	421,533,000	384,771,000
C3411G	C	G	Replacement, aortic valve: with or without aortic annulus enlargement, noncoronary cusp 	7	99,000,000	52,125,000	6,750,000	554,400,000	498,960,000	443,520,000	712,275,000	656,835,000	601,395,000	59,400,000	31,275,000	332,640,000	299,376,000	266,112,000	423,315,000	390,051,000	356,787,000
C3416G	C	G	Resection or incision of subvalvular aortic stenosis W/CPB	5	99,000,000	49,500,000	4,500,000	612,700,000	551,430,000	490,160,000	765,700,000	704,430,000	643,160,000	59,400,000	29,700,000	367,620,000	330,858,000	294,096,000	456,720,000	419,958,000	383,196,000
C3417G	C	G	Aortoplasty (gusset) for supravalvular stenosis W/CPB	5	99,000,000	52,125,000	4,500,000	451,600,000	406,440,000	361,280,000	607,225,000	562,065,000	516,905,000	59,400,000	31,275,000	270,960,000	243,864,000	216,768,000	361,635,000	334,539,000	307,443,000
C3430G	C	G	Replacement, mitral valve	7	99,000,000	44,625,000	6,750,000	625,200,000	562,680,000	500,160,000	775,575,000	713,055,000	650,535,000	0	0	0	0	0	0	0	0
C3460G	C	G	Valvuloplasty or valvectomy, tricuspid valve,  with or without ring W/CPB	7	99,225,000	40,500,000	4,500,000	566,743,000	510,068,000	453,394,000	710,968,000	654,293,000	597,619,000	59,535,000	24,300,000	340,045,000	306,040,000	272,036,000	423,880,000	389,875,000	355,871,000
