Code	Parenteral
28	Parentaral
30	Parentaral
31	Parentaral
32	Parentaral
33	Parentaral
34	Parentaral
49	
52	
53	
54	
55	
57	Parentaral
59	
92	
96	
103	
117	
133	
138	
141	
164	
168	
169	
196	
197	
253	
259	
272	Parentaral
274	
275	
276	
285	Parentaral
291	Parentaral
292	Parentaral
319	
321	
322	
363	Parentaral
369	
411	
412	
416	Parentaral
417	Parentaral
437	Parentaral
439	Parentaral
441	Parentaral
442	Parentaral
449	Parentaral
465	
480	
481	
482	
484	
490	
491	Parentaral
508	
509	Parentaral
511	
513	Parentaral
515	Parentaral
516	Parentaral
518	Parentaral
519	
521	Parentaral
522	Parentaral
528	
529	
530	
531	
542	Parentaral
544	
545	
550	
554	Parentaral
557	
570	Parentaral
571	
572	Parentaral
573	
579	
585	
603	
611	
612	
618	
622	
624	
637	
638	
639	
688	Parentaral
730	
731	
733	
753	
754	
755	Parentaral
759	
760	
761	
765	
767	
771	
772	
786	
790	
792	
793	
794	
796	
797	
798	
803	
804	
806	
808	
845	Parentaral
850	Parentaral
856	
867	
868	
869	
870	
885	
889	
890	
893	
897	
899	
955	Parentaral
956	Parentaral
957	
958	Parentaral
966	
968	
969	
973	
974	
975	
978	
983	
988	
993	
998	
1001	
1002	
1007	
1008	
1009	
1025	
1026	
1028	Parentaral
1037	Parentaral
1038	Parentaral
1039	Parentaral
1057	
1058	
1062	
1068	
1069	
1083	
1084	
1086	
1087	
1088	
1089	
1095	Parentaral
1096	Parentaral
1097	Parentaral
1099	Parentaral
1104	
1105	
1106	
1121	Parentaral
1122	
1123	
1124	
1129	
1130	
1131	
1132	
1134	
1137	
1139	
1141	
1151	
1157	
1161	
1162	
1163	
1164	
1167	
1169	
1177	
1179	
1191	Parentaral
1192	Parentaral
1193	Parentaral
1194	
1204	
1205	
1210	
1211	
1239	
1240	
1241	
1248	
1253	Parentaral
1255	Parentaral
1256	
1260	
1263	Parentaral
1271	
1274	
1277	
1278	
1290	Parentaral
1292	
1301	
1302	
1309	
1310	
1311	
1312	
1337	
1338	Parentaral
1340	
1341	
1342	
1343	
1350	
1351	
1352	
1356	
1362	
1363	
1369	
1372	
1373	
1381	
1382	
1383	
1384	
1385	
1386	
1394	Parentaral
1395	
1402	Parentaral
1403	
1415	
1416	
1433	Parentaral
1434	Parentaral
1440	
1453	
1454	
1455	
1459	
1460	
1475	
1478	
1479	
1490	
1491	
1492	Parentaral
1493	Parentaral
1494	
1497	
1498	
1499	
1503	
1510	
1511	
1523	
1525	
1527	
1531	
1542	
1543	
1544	
1548	
1551	
1552	
1553	
1554	
1555	Parentaral
1556	
1557	
1559	
1564	
1570	Parentaral
1571	Parentaral
1575	
1579	Parentaral
1580	
1581	
1589	
1591	
1595	
1602	
1606	
1610	
1617	Parentaral
1618	Parentaral
1629	
1630	
1636	
1641	
1642	
1643	
1644	
1646	Parentaral
1651	
1652	
1658	
1659	
1660	Parentaral
1662	
1664	
1665	
1668	
1671	
1679	
1681	
1682	
1685	
1686	
1689	
1705	Parentaral
1709	
1710	
1711	
1712	
1713	
1720	
1721	
1722	
1725	
1726	
1727	
1728	
1731	Parentaral
1732	Parentaral
1735	
1736	Parentaral
1746	
1747	
1752	Parentaral
1757	Parentaral
1758	Parentaral
1759	Parentaral
1765	
1766	
1770	
1772	
1779	Parentaral
1780	Parentaral
1781	
1800	
1801	
1808	
1809	
1811	
1812	
1819	
1820	
1822	
1823	
1832	
1835	
1837	
1839	
1840	
1842	Parentaral
1846	
1847	
1848	
1849	
1850	Parentaral
1852	
1853	
1854	
1855	
1857	
1858	
1859	
1860	
1861	
1862	
1864	
1865	
1867	
1869	
1870	
1872	
1877	
1878	
1879	
2010	
2012	
2014	Parentaral
2015	Parentaral
2016	Parentaral
2017	Parentaral
2018	Parentaral
2019	Parentaral
2023	Parentaral
2025	Parentaral
2028	Parentaral
2029	Parentaral
2036	
2038	
2041	
2043	
2045	
2085	Parentaral
2096	Parentaral
2097	Parentaral
2124	Parentaral
2127	Parentaral
2137	Parentaral
2139	Parentaral
2140	Parentaral
2156	
2157	
2177	Parentaral
2179	Parentaral
2198	
2199	
2217	
2219	Parentaral
2220	Parentaral
2222	
2224	Parentaral
2226	
2227	
2241	
2248	
2249	
2250	Parentaral
2251	
2263	Parentaral
2265	
2266	Parentaral
2267	Parentaral
2268	Parentaral
2271	Parentaral
2272	Parentaral
2273	Parentaral
2277	
2279	Parentaral
2280	Parentaral
2281	Parentaral
2282	Parentaral
2283	Parentaral
2284	Parentaral
2285	Parentaral
2287	Parentaral
2288	
2289	
2293	Parentaral
2295	
2308	
2322	
2326	
2332	Parentaral
2334	Parentaral
2344	
2345	
2349	
2350	
2361	
2365	
2366	
2370	
2381	
2382	
2417	
2418	
2419	
2420	
2421	
2423	
2426	
2427	Parentaral
2429	Parentaral
2451	
2462	Parentaral
2465	
2469	Parentaral
2473	Parentaral
2476	
2479	Parentaral
2480	Parentaral
2481	
2491	
2492	
2497	Parentaral
2498	Parentaral
2503	
2504	Parentaral
2511	Parentaral
2512	
2520	
2521	
2543	
2548	
2555	
2557	
2566	Parentaral
2570	Parentaral
2573	Parentaral
2576	
2579	
2581	
2593	
2595	Parentaral
2596	Parentaral
2610	Parentaral
2611	Parentaral
2612	
2626	Parentaral
2630	
2634	
2638	
2639	
2640	Parentaral
2645	
2647	Parentaral
2650	
2652	
2661	Parentaral
2662	Parentaral
2669	
2688	
2695	
2700	Parentaral
2705	
2708	
2714	
2719	
2731	
2735	Parentaral
2736	Parentaral
2739	Parentaral
2747	
2748	
2753	
2755	
2767	
2768	
2771	Parentaral
2793	Parentaral
2800	
2801	
2802	
2803	Parentaral
2805	
2806	Parentaral
2810	Parentaral
2811	Parentaral
2813	
2815	
2827	Parentaral
2855	Parentaral
2869	Parentaral
2871	Parentaral
2886	
2904	
2905	
2909	
2910	
2924	
2936	
2937	Parentaral
2938	
2941	Parentaral
2942	Parentaral
2968	
2969	
2974	
2975	
2976	Parentaral
2977	
2978	Parentaral
2979	
2980	
2985	
2986	Parentaral
2987	
3027	
3028	
3038	Parentaral
3045	
3046	
3047	
3054	
3055	
3058	
3059	
3069	
3070	
3074	
3077	
3079	
3086	
3094	
3110	
3115	
3116	
3119	Parentaral
3121	
3156	Parentaral
3161	
3168	
3172	
3180	
3188	Parentaral
3195	
3196	
3203	Parentaral
3206	
3247	
3263	Parentaral
3265	
3267	Parentaral
3268	
3272	Parentaral
3273	Parentaral
3274	Parentaral
3279	
3280	
3281	
3340	
3345	
3351	Parentaral
3353	Parentaral
3354	Parentaral
3356	Parentaral and Non-parentaral
3358	Parentaral
3367	
3371	
3376	Parentaral
3382	
3385	
3388	
3392	
3393	
3400	Parentaral
3401	Parentaral
3404	Parentaral
3411	Parentaral
3412	Parentaral
3413	Parentaral
3414	
3415	
3426	Parentaral
3427	
3434	
3435	
3436	
3444	
3447	Parentaral
