MoPHCode	RegistrationNumber
9876	7919/1
4648	28560/93
6868	166907/11
6687	218913/10
4811	14294
5724	218036/09
8169	54115/1
10439	38020/1
3345	208964/03
9595	61618/1
10207	100219/1
4509	15548
1808	767292/00
11827	27024/1
1809	767293/00
11828	27124/1
8825	125615/1
10395	12020/1
10394	12120/1
9690	71116/1
8923	47016/1
4272	974221/01
9574	76018/1
6212	218836/09
11468	108422/1
11469	108522/1
6233	167721/10
3593	405471/00
11610	2023/1
11472	118321/1
9181	103316/1
8507	169115/1
4452	208329/97
8671	185908/13
11109	121222/1
7012	222497/08
9342	147517/1
1553	261381/98
3117	236283/98
11331	147222/1
11698	101422/1
11699	101722/1
6025	218600/10
1554	78754/98
2504	208991/03
6939	097201/12
9128	187455/13
8858	119116/1
8425	124214/1
11328	14123/1
1555	973916/02
7750	66714/1
8773	106916/1
6026	219520/09
10147	22819/1
5910	24519/07
5911	24520/07
8125	8815/1
6151	219464/09
6152	219465/09
7232	185993/13
1859	405949/00
11498	76521/1
5998	168132/10
6571	168011/10
6149	219462/09
6150	219463/09
10082	71319/1
7793	66814/1
10925	70822/1
8868	96115/1
7197	96734/12
6668	219725/09
8644	140815/1
7613	187431/13
794	973365/01
6669	219726/09
3757	208020
7776	186960/14
11049	135021/1
4831	973029/01
7622	187095/13
3758	208021
5081	24504/07
5082	24505/07
7775	186961/14
6439	FE96430/11
7734	FE096856/12
1510	973437/01
11217	97821/1
8553	165615/1
7774	187160/13
7605	187086/13
6265	167549/10
7840	222479/08
1511	973436/01
11218	97921/1
7571	96416/11
7773	187159/13
7606	187087/13
6264	167548/10
11885	51323/1
9264	86517/1
11461	61321/1
8980	179516/1
7836	23614/1
6181	221697/10
11070	61421/1
11490	134522/1
11489	134322/1
7663	167179/10
11833	72523/1
3161	973955/02
3512	208746/03
8893	115716/1
9974	15119/1
10637	82120/1
10854	156920/1
11299	69121/1
6814	97874/11
10581	41221/1
5233	24914/07
1862	208672/03
8608	17816/1
3682	261368
10221	86518/1
1025	27528
4501	21358
1849	974038/02
7544	187083/13
9110	39017/1
1523	15315
7322	96384/11
3970	194341/05
1525	208598/03
3058	236818/99
4214	19/95
2177	261487/97
4864	21/95
4236	20/95
