id,atc,b_g,ingredients,code,registration_nb,name,dosage,presentation,form,route,agent,laboratory,country,price,pharmacist_margin,stratum,responsible_party_name,responsible_party_country,exch_date,subsidy_pct,url
3566,L01EC03,BioTech,Encorafenib - 75mg,U9907,108722/1,BRAFTOVI,75mg,180,"Capsule, hard",Oral,Droguerie Fattal  S.A.L.,"Catalent Pharma Solutions, LLC",USA,L.L,2.44,E2,Pfizer Europe MA EEIG,Belgium,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/3566
5686,V03AE01,B,Calcium Polystyrene Sulphonate - 15g,1161,135391,CALCIUM RESONIUM,15g,300g,Powder,Oral/Rectal,Mersaco,Sanofi Winthrop Industrie,France,"2,053,391 L.L",23.08,B,Sanofi Aventis,UK,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/5686
2770,J01DC02,G,Cefuroxime (sodium) - 750mg,1842,208669/03,CEFUMAX,750mg,1,Injectable dry powder,IV/IM,C. Catafago & Co,Pharco Pharmaceuticals,Egypt,"159,917 L.L",23.08,A1,,,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/2770
863,B02BD02,BioTech,Turoctocog Alfa pegol (recombinant coagulation factor VIII) - 500IU/Vial,10908,13421/1,ESPEROCT,500IU/Vial,1,Injectable powder for solution+diluent,Infusion,Mersaco,Novo Nordisk AS,Denmark,"38,126,657 L.L",19.35,D,Novo Nordisk AS,Denmark,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/863
864,B02BD02,BioTech,Turoctocog Alfa pegol (recombinant coagulation factor VIII) - 1000IU/Vial,10909,13521/1,ESPEROCT,1000IU/Vial,1,Injectable powder for solution+diluent,Infusion,Mersaco,Novo Nordisk AS,Denmark,"75,761,363 L.L",10.71,E1,Novo Nordisk AS,Denmark,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/864
6006,L01EB01,G,Gefitinib - 250mg,10728,152119/1,GEFITINIB ARROW,250mg,30,"Tablet, coated",Oral,Darapharma S.A.L.,Remedica Ltd,Cyprus,L.L,2.44,E2,Arrow Génériques,France,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/6006
3575,L01EE03,BioTech,Binimetinib - 15mg,U9908,76822/1,MEKTOVI,15mg,180,"Tablet, film coated",Oral,Droguerie Fattal  S.A.L.,Almac Pharma Services Limited,UK,L.L,2.44,E2,Pfizer Europe MA EEIG,Belgium,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/3575
6011,L01FX13,,,U9492,,PADCEV,30mg,1,Injectable powder for concentrate for solution,Infusion,Mersaco,Astellas Ireland Co Ltd,Ireland,L.L,,,Astellas Pharma Europe BV,The Netherlands,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/6011
6010,L01FX06,,,U9493,,QARZIBA,4.5 mg/ml,1,Injectable lyophilised powder for solution,Infusion,Mersaco,Millmount Healthcare Limited,Ireland,L.L,,,,,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/6010
2571,H02AB04,B,Methylprednisolone sodium succinate - 40mg,439,19019,SOLU MEDROL Act-O-Vial,40mg,1 x 1ml,Injectable powder for solution+diluent,Infusion/IV/IM,Droguerie Fattal  S.A.L.,Pfizer Manufacturing Belgium NV,Belgium,"318,491 L.L",23.08,A1,Pfizer SA,Belgium,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/2571
4613,N03AG01,G,"Sodium valproate - 333mg, Valproic acid - 145mg",9126,43415/1,VILAPRO CHRONO 500,,30,"Tablet, film coated, prolonged release",Oral,Sadco,Dar Al Dawa Development & Investment Co Ltd,Jordan,"217,702 L.L",23.08,A1,Dar Al Dawa Development & Investment Co Ltd,Jordan,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/4613
5846,B02BD02,BioTech,Moroctocog alfa - 500IU,U9455,,XYNTHA,500IU,3,Injectable lyophilised powder for solution+diluent,Infusion,FOOD & DRUG CORPORATION FDC,Wyeth Farma SA,Spain,L.L,,,,,10/7/202,,https://www.moph.gov.lb/en/Drugs/view/5846
