Code	Parent	Route CLEAN	Parenteral
28	Parentaral	IM-Intramuscular	Parentaral
30	Parentaral	IM-Intramuscular	Parentaral
31	Parentaral	SC-Subcutanous	Parentaral
32	Parentaral	IM-Intramuscular	Parentaral
33	Parentaral	IM-Intramuscular	Parentaral
34	Parentaral	IM-Intramuscular	Parentaral
49	O-Oral	O-Oral	
52	O-Oral	O-Oral	
53	O-Oral	O-Oral	
54	O-Oral	O-Oral	
55	O-Oral	O-Oral	
57	Parentaral	IM-Intramuscular	Parentaral
59	O-Oral	O-Oral	
92	O-Oral	O-Oral	
96	R-Rectal	R-Rectal	
103	O-Oral	O-Oral	
117	O-Oral-V-Vaginal	O-Oral-V-Vaginal	
133	O-Oral	O-Oral	
138	O-Oral	O-Oral	
141	O-Oral	O-Oral	
164	T-Topical	T-Topical	
168	Ot-Otic	Ot-Otic	
169	O-Oral	O-Oral	
196	O-Oral	O-Oral	
197	O-Oral	O-Oral	
253	O-Oral	O-Oral	
259	T-Topical	T-Topical	
272	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
274	Irrigation	Irrigation	
275	Irrigation	Irrigation	
276	Irrigation	Irrigation	
285	Parentaral	Inf-Infusion	Parentaral
291	Parentaral	Inf-Infusion	Parentaral
292	Parentaral	Inf-Infusion	Parentaral
319	O-Oral	O-Oral	
321	O-Oral	O-Oral	
322	O-Oral	O-Oral	
363	Parentaral	IM-SC-Intramuscular-Subcutanous	Parentaral
369	Oph-Ophtalmic	Oph-Ophtalmic	
411	O-Oral	O-Oral	
412	O-Oral	O-Oral	
416	Parentaral	IM/Intraarticular/intralesional/intrarectal	Parentaral
417	Parentaral	IM/Intraarticular/intralesional/intrarectal	Parentaral
437	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
439	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
441	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
442	Parentaral	Inf-IV-IM-Infusion-Intravenous-Intramuscular	Parentaral
449	Parentaral	Inf-IArte-Infusion- Intraarterial	Parentaral
465	O-Oral	O-Oral	
480	O-Oral	O-Oral	
481	O-Oral	O-Oral	
482	O-Oral	O-Oral	
484	O-Oral	O-Oral	
490	O-Oral	O-Oral	
491	Parentaral	IV-IM-Intravenous-Intramuscular	Parentaral
508	TS-Topical,scalp	TS-Topical,scalp	
509	Parentaral	SC-Subcutanous	Parentaral
511	O-Oral	O-Oral	
513	Parentaral	Inf-Infusion	Parentaral
515	Parentaral	Inf-Infusion	Parentaral
516	Parentaral	Inf-Infusion	Parentaral
518	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
519	Res-Respiratory	Res-Respiratory	
521	Parentaral	SC-Subcutanous	Parentaral
522	Parentaral	SC-Subcutanous	Parentaral
528	O-Oral	O-Oral	
529	O-Oral	O-Oral	
530	O-Oral	O-Oral	
531	O-Oral	O-Oral	
542	Parentaral	IM-Intramuscular	Parentaral
544	O-Oral	O-Oral	
545	O-Oral	O-Oral	
550	O-Oral	O-Oral	
554	Parentaral	IArt-Intraarticular	Parentaral
557	IO-Intraoral	IO-Intraoral	
570	Parentaral	IV-IM-Inf-R-Intravenous-Intramuscular-Infusion-Rectal	Parentaral
571	T-Topical	T-Topical	
572	Parentaral	IV-IM-SC-Intravenous-Intamuscular-Subcutanous	Parentaral
573	O-Oral	O-Oral	
579	Oph-Ophtalmic	Oph-Ophtalmic	
585	T-Topical	T-Topical	
603	Res-Respiratory	Res-Respiratory	
611	T-Topical	T-Topical	
612	T-Topical	T-Topical	
618	O-Oral	O-Oral	
622	O-Oral	O-Oral	
624	N-Nasal	N-Nasal	
637	Res-Respiratory	Res-Respiratory	
638	Res-Respiratory	Res-Respiratory	
639	Res-Respiratory	Res-Respiratory	
688	Parentaral	Inf-Infusion	Parentaral
730	O-Oral	O-Oral	
731	O-Oral	O-Oral	
733	O-Oral	O-Oral	
753	O-Oral	O-Oral	
754	O-Oral	O-Oral	
755	Parentaral	Inf-IV-Infusion-Intravenous	Parentaral
759	T-Topical	T-Topical	
760	O-Oral	O-Oral	
761	O-Oral	O-Oral	
765	TD-Transdermal	TD-Transdermal	
767	O-Oral	O-Oral	
771	T-Topical	T-Topical	
772	T-Topical	T-Topical	
786	O-Oral	O-Oral	
790	O-Oral	O-Oral	
792	O-Oral	O-Oral	
793	O-Oral	O-Oral	
794	O-Oral	O-Oral	
796	O-Oral	O-Oral	
797	O-Oral	O-Oral	
798	O-Oral	O-Oral	
803	O-Oral	O-Oral	
804	O-Oral	O-Oral	
806	O-Oral	O-Oral	
808	O-Oral	O-Oral	
845	Parentaral	Inf-Infusion	Parentaral
850	Parentaral	SC-Subcutanous	Parentaral
856	O-Oral	O-Oral	
867	O-Oral	O-Oral	
868	O-Oral	O-Oral	
869	O-Oral	O-Oral	
870	O-Oral	O-Oral	
885	O-Oral	O-Oral	
889	InhRes-Inhalation or respiratory	InhRes-Inhalation or respiratory	
890	O-Oral	O-Oral	
893	O-Oral	O-Oral	
897	O-Oral	O-Oral	
899	O-Oral	O-Oral	
955	Parentaral	Inf-Infusion	Parentaral
956	Parentaral	Inf-Infusion	Parentaral
957	O-Oral	O-Oral	
958	Parentaral	Inf-Infusion	Parentaral
966	IV-Intravenous	IV-Intravenous	
968	O-Oral-V-Vaginal	O-Oral-V-Vaginal	
969	O-Oral-V-Vaginal	O-Oral-V-Vaginal	
973	O-Oral	O-Oral	
974	O-Oral	O-Oral	
975	O-Oral	O-Oral	
978	O-Oral	O-Oral	
983	O-Oral	O-Oral	
988	O-Oral	O-Oral	
993	O-Oral	O-Oral	
998	O-Oral	O-Oral	
1001	O-Oral	O-Oral	
1002	O-Oral	O-Oral	
1007	O-Oral	O-Oral	
1008	O-Oral	O-Oral	
1009	R-Rectal	R-Rectal	
1025	O-Oral	O-Oral	
1026	O-Oral	O-Oral	
1028	Parentaral	SC-Subcutanous	Parentaral
1037	Parentaral	SC-Subcutanous	Parentaral
1038	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
1039	Parentaral	SC-Subcutanous	Parentaral
1057	O-Oral	O-Oral	
1058	O-Oral	O-Oral	
1062	O-Oral	O-Oral	
1068	IV-Intravenous	IV-Intravenous	
1069	IV-Intravenous	IV-Intravenous	
1083	O-Oral	O-Oral	
1084	O-Oral	O-Oral	
1086	O-Oral	O-Oral	
1087	T-Topical	T-Topical	
1088	T-Topical	T-Topical	
1089	T-Topical	T-Topical	
1095	Parentaral	IV-SC-Intravenous-Subcutanous	Parentaral
