MoPHCode	RegistrationNumber	DrugName	Presentation	Form	Agent	Manufacturer	Country	PublicPrice	Stratum
10574	51721/1	0.45% SODIUM CHLORIDE INJECTION USP	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	160885	
11135	9723/1	0.45% SODIUM CHLORIDE INJECTION USP	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	176974	
12179	115424/1	0.45% SODIUM CHLORIDE INJECTION USP	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	137902	
12182	115924/1	0.45% SODIUM CHLORIDE INJECTION USP	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	155139	
10570	51921/1	0.9% SODIUM CHLORIDE INJECTION USP	100ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	145946	
10571	52121/1	0.9% SODIUM CHLORIDE INJECTION USP	500ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	151692	
10572	52021/1	0.9% SODIUM CHLORIDE INJECTION USP	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	164333	
10573	51821/1	0.9% SODIUM CHLORIDE INJECTION USP	3000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	688359	
10575	52221/1	0.9% SODIUM CHLORIDE INJECTION USP	250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	144797	
11136	8323/1	0.9% SODIUM CHLORIDE INJECTION USP	100ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	182720	
11137	8523/1	0.9% SODIUM CHLORIDE INJECTION USP	500ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	209151	
11138	8623/1	0.9% SODIUM CHLORIDE INJECTION USP	1000ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	222941	
11139	8423/1	0.9% SODIUM CHLORIDE INJECTION USP	250ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	181570	
12052	115224/1	0.9% SODIUM CHLORIDE INJECTION USP	50ml non pvc		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	141349	
10614	63721/1	10% DEXTROSE INJECTION USP	1000ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	219493	
10615	63521/1	10% DEXTROSE INJECTION USP	250ml		A Pharma Solutions SAL	Serum and Solutions SAL	Lebanon	170079	
