MoPHCode	Seq	PresentationLNDI
7685	3	200ml
4648	1	30g
6687	1	40g
6868	1	20g
9876	1	40g
4811	1	4ml
5724	5	10ml
8324	3	15g
9534	4	15ml
8169	1	48
10439	2	48
1415	1	50
1416	2	350ml
3345	3	30
5036	4	50
5037	5	350ml
9595	7	200ml
10207	8	250ml
4509	3	20
1808	2	20
1809	3	10
8825	1	28
10394	3	8
10395	2	4
9690	2	15
465	1	14
1544	1	14
1552	2	14
1553	1	14
1554	3	14
1555	4	1
1668	1	14
1811	1	14
1846	1	14
2504	4	5
3593	1	14
3660	1	28
4058	4	1
4271	2	20
4272	1	14
4452	1	14
6025	3	14
6026	5	12
6212	1	14
6233	1	28
6408	1	14
6939	4	10
7012	1	30
7750	4	1
7781	1	28
8240	1	14
8241	1	28
8302	1	28
8425	4	1+1
8507	1	504
8671	1	30
8773	4	10
8858	4	1
8923	1	28
9128	4	50
9181	1	56
9342	1	10
9574	1	30
9692	3	28
10147	6	30
1859	1	14
5179	1	30
5910	1	30
5911	1	15
5998	2	15
6149	2	15
6150	2	30
6151	1	15
6152	1	30
6571	2	14
6746	2	10
7197	3	1
7232	1	15
7793	3	1
8125	1	14
8868	3	1
10037	3	10
10082	2	30
10925	3	10
794	1	14
1728	1	14
2719	1	14
5144	2	14
6668	1	15
6669	2	15
6926	1	14
7613	1	30
8644	1	30
1867	1	28
1869	2	28
3757	1	28
3758	2	14
4830	1	28
4831	2	14
5079	1	15
5080	1	30
5081	2	10
5082	2	30
6398	2	15
6438	1	15
6439	2	10
7622	2	28
7734	2	30
7775	2	14
7776	1	28
7778	1	30
8472	2	30
8473	2	10
8474	1	30
8475	1	15
11049	2	Austria
11050	1	Austria
1510	1	28
1511	2	28
3539	3	10
6181	4	28
6264	2	28
6265	1	28
6924	1	30
6925	2	30
7571	2	14
7605	1	28
7606	2	28
7773	2	14
7774	1	14
7836	3	1
7840	1	10
8308	1	10
8309	2	10
8553	1	14
8980	3	1
9230	2	56
9264	2	28
9493	3	10
7582	1	14
7583	2	14
8127	1	28
8128	2	28
9652	2	14
9653	2	28
9654	1	28
9655	1	14
7663	1	30
5243	1	14 x 3
9700	1	120
3161	1	30
3512	2	200ml
8893	3	30 sachets
9974	4	300ml
10637	5	32
10854	6	300ml
6814	1	30
1862	2	48
5233	1	30
10581	1	30
3028	1	20
8608	1	10x1ml
3682	1	30
10221	1	30
1025	1	30
1026	1	100
1849	4	30
4501	3	120ml
10446	1	10
6740	3	10 x 4ml
7544	1	30
9110	4	10
10511	5	20
1523	2	15ml
1525	4	32
3970	4	30
7322	3	30ml
3058	1	30
2177	1	10 x 1ml
2179	3	10 x 1ml
4214	1	10 x 1ml
4236	3	10 x 1ml
4864	2	100 x 1ml
10557	1	5x1ml
10558	3	5x1ml
11027	4	10
1579	3	5 x 1ml
3119	3	10 x 1ml
3748	1	20
3749	2	100ml
7930	3	5 x 1ml
9086	3	50 x 1ml
9501	1	50
9502	1	20
4378	2	30
4415	1	30
4640	2	30
8410	2	30
9478	2	30
4336	1	25ml
7552	1	10
2481	1	42
4525	2	20
8547	2	100
8548	2	30
2793	4	10 x 2ml
3059	3	40
7713	4	5
8871	4	10
9087	4	50
9605	4	5 x 2ml
9733	4	10 x 2ml
1689	1	30
1847	1	24
1848	2	120ml
4447	1	30
5056	1	20
5999	2	200ml
6204	1	30
7455	1	30
9875	2	200ml
10461	1	30
9149	1	50
3969	1	20
4446	1	10
5312	4	10 x 4ml
5644	3	10 x 2ml
6380	4	25 x 4ml
7678	4	5 x 4ml
7679	3	5 x 2ml
7850	3	1 x 2ml
7851	4	1 x 4ml
8100	4	5 x 4ml
8643	1	10
8689	3	5x2ml
8690	4	5x4ml
8918	1	10
8958	4	5 x 4ml
8959	3	5 x 2ml
8962	3	5 x 2ml
9013	5	4
9090	1	4
9116	3	5 x 2ml
9117	4	5 x 4ml
9491	6	100ml
9591	1	10
9928	6	60ml
9987	4	5 x 4ml
9988	3	5 x 2ml
10336	7	10
10337	5	10
10435	1	10
10827	1	500
10902	6	90ml
10984	8	4
8436	2	5 x 1ml
8437	3	5 x 3ml
9015	2	10
9546	1	10
9852	3	5 x 3ml
11008	4	1
8286	1	1
8551	1	1
1453	1	75ml
1454	2	30
1455	3	10
9102	1	1
10342	2	2
10343	3	1+2
92	1	100
9890	1	30
9891	2	30
6353	1	40
2695	2	50
4502	1	240ml
9735	1	100
9738	1	40
10851	2	10
4503	1	30ml
4504	1	60ml
8603	2	30
6459	1	2
7973	2	2
10320	2	2
4495	1	40g
3168	1	300ml
3595	1	300ml
2555	1	20
7548	1	20
1589	1	200ml
2557	1	4
9645	3	20
9646	5	30
6712	1	4 x 10ml
4548	1	12
4549	1	12
4551	2	12
6805	1	28
6806	2	28
10457	2	28
10458	1	28
4442	2	60ml
8844	1	20
9495	3	30
3754	1	12
3755	2	60ml
9446	1	20
2381	1	28
4421	1	28
10512	1	50
2251	1	24+24
2512	3	100
6943	1	12
9350	1	12
957	1	240ml
7651	2	12
10094	1	6
7160	1	100
8965	2	30
10833	1	100
10834	1	50
96	9	7 x 60ml
1008	1	100
1009	7	20
1260	8	28
3115	2	100
3116	7	10
5478	3	60
6253	10	7 x 100ml
6890	4	60
7846	8	30
8319	11	60
8320	12	60
8321	5	50
8775	2	100
9191	6	60
10339	4	100
10543	10	7
10682	7	12
10806	13	60
10807	13	90
10808	14	30
2714	4	10
7091	2	10
7637	2	30
169	1	20
3915	3	10
6494	2	20
8477	4	20
3938	1	20
8287	1	16
8288	2	10
8759	2	10
8760	2	20
9939	1	90
10095	1	112
6255	1	30
6285	1	10
6286	2	30
6375	2	30
6575	1	30
6883	1	40
7262	1	20
9241	1	30
9449	1	84
3206	3	100
5258	4	100
5346	10	1
1038	2	1 x 10ml
2018	1	5x3ml
2023	2	1 x 10ml
5060	2	1 x 10ml
8497	2	1 x 10ml
1028	2	10ml
5844	1	5 x 3ml
8948	4	5 x 3ml
10592	2	10ml
10619	1	1x3ml
10981	1	5x3ml
10983	1	5x3ml
2017	1	5 x 3ml
7190	2	1 x 10ml
8087	1	5 x 3ml
8113	1	5 x 3ml
9456	2	1 x 10ml
9457	1	5 x 3ml
5262	2	1 x 10ml
5263	1	5 x 3ml
2019	3	5x3ml
1037	1	1 x 10ml
2029	1	1 x 10ml
5061	1	1 x 10ml
8088	1	1 x 10ml
5842	1	5x3ml
5843	2	5x3ml
2016	1	5 x 3ml
5846	2	5 x 3ml
8085	1	5 x 3ml
8111	1	5 x 3ml
7961	1	5x3ml
1039	1	1 x 10ml
2025	1	1 x 10ml
5057	1	1 x 10ml
