MoPHCode	ProductType
7685	Brand
4648	Generic
6687	Generic
6868	Generic
9876	Brand
4811	Generic
5724	Brand
8324	Brand
9534	Generic
8169	Brand
10439	Brand
1415	Brand
1416	Brand
3345	Brand
5036	Brand
5037	Brand
9595	Brand
10207	Brand
4509	Generic
1808	Generic
1809	Generic
8825	Brand
10394	Generic
10395	Generic
9690	Generic
465	Generic
1544	Generic
1552	Generic
1553	Generic
1554	Generic
1555	Generic
1668	Generic
1811	Generic
1846	Generic
2504	Generic
3593	Generic
3660	Generic
4058	Generic
4271	Generic
4272	Generic
4452	Generic
6025	Generic
6026	Generic
6212	Generic
6233	Generic
6408	Generic
6939	Generic
7012	Generic
7750	Generic
7781	Generic
8240	Generic
8241	Generic
8302	Generic
8425	Generic
8507	Generic
8671	Generic
8773	Generic
8858	Generic
8923	Generic
9128	Generic
9181	Generic
9342	Generic
9574	Generic
9692	Generic
10147	Generic
1859	Generic
5179	Generic
5910	Generic
5911	Generic
5998	Generic
6149	Generic
6150	Generic
6151	Generic
6152	Generic
6571	Generic
6746	Generic
7197	Generic
7232	Generic
7793	Generic
8125	Generic
8868	Generic
10037	Generic
10082	Generic
10925	Generic
794	Generic
1728	Generic
2719	Brand
5144	Generic
6668	Generic
6669	Generic
6926	Generic
7613	Generic
8644	Generic
1867	Brand
1869	Brand
3757	Generic
3758	Generic
4830	Generic
4831	Generic
5079	Generic
5080	Generic
5081	Generic
5082	Generic
6398	Generic
6438	Generic
6439	Generic
7622	Generic
7734	Generic
7775	Generic
7776	Generic
7778	Generic
8472	Generic
8473	Generic
8474	Generic
8475	Generic
11049	Brand
11050	Brand
1510	Brand
1511	Brand
3539	Brand
6181	Brand
6264	Generic
6265	Generic
6924	Generic
6925	Generic
7571	Generic
7605	Generic
7606	Generic
7773	Generic
7774	Generic
7836	Generic
7840	Generic
8308	Generic
8309	Generic
8553	Generic
8980	Generic
9230	Generic
9264	Generic
9493	Generic
7582	Brand
7583	Brand
8127	Brand
8128	Brand
9652	Brand
9653	Brand
9654	Brand
9655	Brand
7663	Brand
5243	Generic
9700	Brand
3161	Generic
3512	Brand
8893	Brand
9974	Brand
10637	Brand
10854	Brand
6814	Brand
1862	Generic
5233	Generic
10581	Brand
3028	Generic
8608	Brand
3682	Brand
10221	Generic
1025	Brand
1026	Brand
1849	Brand
4501	Generic
10446	Brand
6740	Generic
7544	Brand
9110	Generic
10511	Generic
1523	Brand
1525	Brand
3970	Brand
7322	Generic
3058	Brand
2177	Generic
2179	Generic
4214	Generic
4236	Generic
4864	Generic
10557	Generic
10558	Generic
11027	Generic
1579	Generic
3119	Generic
3748	Generic
3749	Generic
7930	Generic
9086	Generic
9501	Brand
9502	Brand
4378	Generic
4415	Generic
4640	Generic
8410	Brand
9478	Generic
4336	Brand
7552	Brand
2481	Generic
4525	Generic
8547	Brand
8548	Brand
2793	Generic
3059	Brand
7713	Generic
8871	Generic
9087	Generic
9605	Generic
9733	Generic
1689	Generic
1847	Generic
1848	Generic
4447	Generic
5056	Generic
5999	Generic
6204	Generic
7455	Generic
9875	Brand
10461	Brand
9149	Generic
3969	Brand
4446	Generic
5312	Generic
5644	Generic
6380	Generic
7678	Generic
7679	Generic
7850	Generic
7851	Generic
8100	Generic
